access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2477,621996,0,156,8810,0
2,380,33202,0,100,397,0
3,81,3393,0,18,21,0
4,42,3295,0,3,4,0
5,15,858,0,2,2,0
6,11,380,0,1,1,0
7,11,528,0,1,1,0
8,4,344,0,0,0,0
9,8,295,0,0,0,0
10,4,244,0,0,0,0
11,3,198,0,0,0,0
12,3,169,0,0,0,0
13,5,134,0,0,0,0
14,8,133,0,1,1,0
15,6,146,0,1,1,0
16,5,166,0,1,1,0
17,3,265,0,0,0,0
18,4,402,0,1,1,0
19,15,633,0,1,1,0
20,37,868,0,1,2,0
21,66,947,0,0,0,0
22,88,917,0,0,0,0
23,81,832,0,0,0,0
24,75,570,0,2,2,0
25,58,403,0,0,0,0
26,29,254,0,1,1,0
27,18,262,0,0,0,0
28,12,178,0,0,0,0
29,15,183,0,0,0,0
30,10,146,0,0,0,0
31,7,160,0,0,0,0
32,5,160,0,0,0,0
33,5,164,0,0,0,0
34,6,190,0,0,0,0
35,2,204,0,0,0,0
36,3,183,0,0,0,0
37,4,160,0,0,0,0
38,3,165,0,0,0,0
39,4,127,0,0,0,0
40,5,108,0,1,1,0
41,9,93,0,0,0,0
42,5,70,0,0,0,0
43,7,68,0,0,0,0
44,6,60,0,1,1,0
45,12,63,0,0,0,0
46,7,49,0,0,0,0
47,3,47,0,0,0,0
48,4,44,0,0,0,0
49,2,30,267,0,0,0
50,4,46,1428,0,0,0
51,2,35,1506,0,0,0
52,2,27,1464,0,0,0
53,4,40,1368,0,0,0
54,1,27,1278,0,0,0
55,3,25,1176,0,0,0
56,3,49,1107,0,0,0
57,1,21,1074,0,0,0
58,1,19,888,0,0,0
59,3,52,897,0,0,0
60,2,25,741,0,0,0
61,1,26,780,0,0,0
62,3,28,699,0,0,0
63,1,17,651,0,0,0
64,5,24,681,0,0,0
65,2,15,687,0,0,0
66,1,15,522,0,0,0
67,2,26,483,0,0,0
68,3,20,402,0,0,0
69,2,10,444,0,0,0
70,2,21,420,0,0,0
71,1,31,384,0,0,0
72,2,17,372,0,0,0
73,2,13,483,0,0,0
74,0,21,417,0,0,0
75,2,21,402,0,0,0
76,0,16,312,0,0,0
77,2,24,258,0,0,0
78,1,11,264,0,0,0
79,1,15,342,0,0,0
80,0,22,321,0,0,0
81,1,12,354,0,0,0
82,0,8,363,0,0,0
83,0,14,279,0,0,0
84,1,11,300,0,0,0
85,2,13,312,0,0,0
86,2,19,327,0,0,0
87,0,10,318,0,0,0
88,1,10,294,0,0,0
89,1,13,279,0,0,0
90,0,6,192,0,0,0
91,2,5,222,0,0,0
92,1,14,252,0,0,0
93,1,7,192,0,0,0
94,3,13,252,0,0,0
95,1,11,204,0,0,0
96,0,7,246,0,0,0
97,1,10,141,0,0,0
98,0,13,165,0,0,0
99,1,6,156,0,0,0
100,0,2,201,0,0,0
101,0,6,180,0,0,0
102,1,10,186,0,0,0
103,1,12,159,0,0,0
104,0,13,165,0,0,0
105,2,12,189,0,0,0
106,0,11,156,0,0,0
107,1,5,159,0,0,0
