access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1911,621181,2682,158,8742,0
2,184,33258,2394,101,397,0
3,35,3534,1569,18,21,0
4,38,3083,1662,3,4,0
5,6,900,1797,2,2,0
6,8,413,1524,1,1,0
7,4,508,1290,1,1,0
8,4,331,1140,0,0,0
9,1,285,1197,0,0,0
10,1,239,975,0,0,0
11,1,192,852,0,0,0
12,2,183,561,0,0,0
13,1,129,651,0,0,0
14,0,127,669,1,1,0
15,2,121,534,1,1,0
16,2,135,396,1,1,0
17,1,251,486,0,0,0
18,5,384,309,1,1,0
19,9,620,312,1,1,0
20,16,851,264,1,2,0
21,20,890,291,0,0,0
22,21,863,225,0,0,0
23,21,787,318,0,0,0
24,37,614,174,2,2,0
25,40,468,147,0,0,0
26,26,303,144,1,1,0
27,13,218,96,0,0,0
28,3,139,93,0,0,0
29,6,151,93,0,0,0
30,9,153,96,0,0,0
31,7,189,81,0,0,0
32,3,172,90,0,0,0
33,4,181,60,0,0,0
34,3,175,48,0,0,0
35,2,222,48,0,0,0
36,4,191,63,0,0,0
37,0,175,42,0,0,0
38,1,180,66,0,0,0
39,3,147,36,0,0,0
40,3,116,33,1,1,0
41,3,84,36,0,0,0
42,3,84,36,0,0,0
43,3,68,30,0,0,0
44,0,66,36,1,1,0
45,5,72,30,0,0,0
46,2,45,24,0,0,0
47,6,58,27,0,0,0
48,2,38,15,0,0,0
49,0,37,516,0,0,0
50,0,46,3216,0,0,0
51,0,33,3126,0,0,0
52,1,28,2946,0,0,0
53,4,51,2718,0,0,0
54,0,26,2376,0,0,0
55,1,22,2235,0,0,0
56,4,40,1995,0,0,0
57,1,24,2088,0,0,0
58,0,24,1827,0,0,0
59,1,42,1518,0,0,0
60,4,30,1521,0,0,0
61,0,29,1281,0,0,0
62,0,31,1248,0,0,0
63,0,20,1221,0,0,0
64,0,26,1128,0,0,0
65,0,11,1188,0,0,0
66,0,11,954,0,0,0
67,0,24,1008,0,0,0
68,1,22,867,0,0,0
69,0,13,801,0,0,0
70,1,22,666,0,0,0
71,0,31,675,0,0,0
72,0,18,684,0,0,0
73,1,11,690,0,0,0
74,0,28,582,0,0,0
75,1,16,600,0,0,0
76,0,15,636,0,0,0
77,0,24,498,0,0,0
78,0,12,486,0,0,0
79,1,11,624,0,0,0
80,0,28,585,0,0,0
81,0,13,561,0,0,0
82,0,8,507,0,0,0
83,0,20,519,0,0,0
84,0,8,411,0,0,0
85,0,10,477,0,0,0
86,1,14,420,0,0,0
87,0,13,366,0,0,0
88,0,10,447,0,0,0
89,1,19,462,0,0,0
90,0,5,381,0,0,0
91,0,2,354,0,0,0
92,0,14,294,0,0,0
93,2,6,324,0,0,0
94,0,17,252,0,0,0
