access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2713,622582,0,156,8837,0
2,458,32871,0,101,398,0
3,102,3299,0,18,21,0
4,49,3312,0,3,4,0
5,16,864,0,2,2,0
6,16,396,0,1,1,0
7,9,534,0,1,1,0
8,9,327,0,0,0,0
9,9,278,0,0,0,0
10,6,247,0,0,0,0
11,4,196,0,0,0,0
12,7,176,0,0,0,0
13,5,149,0,0,0,0
14,5,150,0,1,1,0
15,4,157,0,1,1,0
16,8,153,0,1,1,0
17,3,271,0,0,0,0
18,10,418,0,1,1,0
19,30,656,0,1,1,0
20,80,947,0,1,2,0
21,97,992,0,0,0,0
22,109,928,0,0,0,0
23,96,786,0,0,0,0
24,70,533,0,2,2,0
25,59,355,0,0,0,0
26,30,256,0,1,1,0
27,16,235,0,0,0,0
28,13,177,0,0,0,0
29,17,158,0,0,0,0
30,9,140,0,0,0,0
31,3,154,0,0,0,0
32,9,169,0,0,0,0
33,4,169,0,0,0,0
34,5,179,0,0,0,0
35,3,209,0,0,0,0
36,5,186,0,0,0,0
37,5,154,0,0,0,0
38,6,162,0,0,0,0
39,4,124,0,0,0,0
40,6,115,0,1,1,0
41,11,84,0,0,0,0
42,4,65,0,0,0,0
43,11,67,0,0,0,0
44,7,58,0,1,1,0
45,13,62,0,0,0,0
46,5,45,0,0,0,0
47,6,45,0,0,0,0
48,6,50,0,0,0,0
49,3,36,123,0,0,0
50,6,41,462,0,0,0
51,2,32,438,0,0,0
52,1,29,381,0,0,0
53,5,42,393,0,0,0
54,2,28,363,0,0,0
55,4,27,381,0,0,0
56,2,38,321,0,0,0
57,2,26,381,0,0,0
58,2,27,369,0,0,0
59,4,37,264,0,0,0
60,4,32,267,0,0,0
61,3,25,249,0,0,0
62,3,22,231,0,0,0
63,1,23,276,0,0,0
64,6,22,249,0,0,0
65,2,17,204,0,0,0
66,2,16,258,0,0,0
67,6,26,141,0,0,0
68,3,15,156,0,0,0
69,4,13,138,0,0,0
70,4,26,189,0,0,0
71,3,28,198,0,0,0
72,1,14,174,0,0,0
73,1,15,171,0,0,0
74,0,26,189,0,0,0
75,3,15,153,0,0,0
76,1,19,147,0,0,0
77,2,20,132,0,0,0
78,2,15,141,0,0,0
79,2,15,180,0,0,0
80,1,21,225,0,0,0
81,0,8,177,0,0,0
82,1,12,186,0,0,0
83,0,13,186,0,0,0
84,2,14,135,0,0,0
85,2,11,177,0,0,0
86,3,13,141,0,0,0
87,0,11,171,0,0,0
88,0,11,126,0,0,0
89,3,15,144,0,0,0
90,1,9,105,0,0,0
91,2,4,126,0,0,0
92,1,9,156,0,0,0
93,0,12,147,0,0,0
94,4,11,138,0,0,0
95,1,6,96,0,0,0
96,1,14,126,0,0,0
97,1,12,129,0,0,0
98,1,8,114,0,0,0
99,1,4,111,0,0,0
100,1,6,120,0,0,0
101,1,9,123,0,0,0
102,2,9,78,0,0,0
103,2,13,87,0,0,0
104,4,16,96,0,0,0
105,2,12,96,0,0,0
106,0,6,51,0,0,0
107,1,5,99,0,0,0
108,1,1,93,0,0,0
109,0,3,60,0,0,0
110,0,5,81,0,0,0
111,1,8,93,0,0,0
112,2,12,75,0,0,0
113,1,5,105,0,2,0
114,1,8,90,0,60,0
115,1,5,108,0,248,0
116,0,3,87,2,736,0
117,1,6,57,23,1517,0
118,0,6,60,122,2822,0
119,0,4,66,258,4827,0
120,1,3,84,475,6413,0
121,0,1,72,803,7500,0
122,1,7,39,1229,8814,0
123,0,4,54,1570,9171,0
124,1,3,99,1479,8079,0
125,0,5,51,1504,6891,0
126,2,6,54,1239,5602,0
127,0,6,63,826,4328,0
128,0,3,54,586,3269,0
129,2,6,81,426,2678,0
130,0,1,54,353,2229,0
131,1,5,51,315,2111,0
132,2,6,48,250,2002,0
133,0,3,57,270,2013,0
134,0,2,33,290,2162,0
135,2,8,36,279,2038,0
136,0,2,36,256,1958,0
137,0,3,36,158,1673,0
138,1,4,51,171,1700,0
139,1,6,54,147,1691,0
140,0,7,51,180,1520,0
141,1,6,63,129,1372,0
142,0,2,69,144,1457,0
143,0,1,57,116,1284,0
144,1,1,42,162,1298,0
145,0,6,48,201,1346,0
146,1,3,30,146,1174,0
147,1,3,33,197,1316,0
148,1,2,36,142,1143,0
149,0,8,12,183,1224,0
150,1,4,21,106,1141,0
151,1,4,30,109,1002,0
152,1,2,42,94,961,0
153,2,3,45,105,1109,0
154,0,0,48,85,947,0
155,0,4,36,97,986,0
156,0,4,18,96,1077,0
157,0,2,18,112,1059,0
158,1,2,36,113,943,0
159,2,3,39,69,743,0
160,0,3,36,59,736,0
161,1,4,27,28,707,0
162,0,2,24,77,744,0
163,0,1,12,121,742,0
164,0,4,45,128,825,0
165,0,0,39,118,838,0
166,0,0,18,66,657,0
167,0,3,21,75,826,0
168,0,3,12,39,692,0
169,2,2,27,85,635,0
170,0,1,39,79,750,0
171,0,1,9,62,655,0
172,0,2,24,105,838,0
173,0,2,21,94,785,0
174,0,3,24,72,854,0
175,0,3,36,94,890,0
176,1,3,24,91,795,0
177,0,0,15,73,707,0
178,0,1,36,50,653,0
179,0,0,12,103,779,0
180,1,2,21,69,752,0
181,0,0,27,86,576,0
182,0,1,33,56,696,0
183,0,2,18,80,632,0
184,0,1,30,37,532,0
185,0,0,27,73,670,0
186,0,0,24,35,639,0
187,0,3,24,82,611,0
188,1,1,21,103,686,0
189,0,1,33,59,592,0
190,0,2,9,68,601,0
191,0,1,33,60,480,0
192,0,1,30,38,418,0
193,0,0,33,73,559,0
194,2,3,12,47,532,0
195,0,1,18,20,466,0
196,1,4,27,60,574,0
197,1,2,15,31,547,0
198,0,1,18,57,464,0
199,0,1,33,73,574,0
200,2,3,18,75,529,0
201,0,2,12,66,488,0
202,0,1,12,46,397,0
203,0,2,30,24,394,0
204,1,2,15,25,484,0
205,0,1,15,76,548,0
206,0,1,15,49,568,0
207,0,0,27,26,609,0
208,0,2,21,20,529,0
209,1,5,21,56,519,0
210,0,5,21,19,537,0
211,0,2,30,58,538,0
212,0,3,18,88,584,0
213,0,0,33,74,578,0
214,1,5,21,42,514,0
215,1,4,15,45,557,0
216,0,1,15,27,447,0
217,0,3,24,60,474,0
218,0,3,6,55,563,0
219,0,2,15,27,525,0
220,0,0,9,66,574,0
221,0,1,21,46,396,0
222,0,0,15,39,372,0
223,0,1,9,35,383,0
224,0,2,18,60,411,0
225,0,1,15,35,505,0
226,0,3,21,40,439,0
227,0,1,9,59,480,0
228,0,0,18,62,649,0
229,0,2,15,49,526,0
230,0,0,12,55,433,0
231,0,2,3,64,469,0
232,0,0,12,29,388,0
233,0,1,9,51,352,0
234,1,2,27,34,301,0
235,0,0,9,58,322,0
236,0,2,15,24,382,0
237,0,4,18,55,413,0
238,0,2,9,67,395,0
239,0,1,15,71,457,0
240,0,4,27,49,428,0
241,0,2,15,63,359,0
242,0,1,18,59,421,0
243,0,3,12,71,380,0
244,0,5,3,57,511,0
245,0,4,3,41,366,0
246,1,4,9,24,352,0
247,2,6,12,25,284,0
248,0,1,27,74,294,0
249,0,2,15,53,359,0
250,0,2,9,26,281,0
251,0,0,9,34,282,0
252,0,0,21,35,345,0
253,0,2,12,98,392,0
254,0,1,9,116,364,0
255,0,1,15,88,477,0
256,0,1,6,34,358,0
257,0,0,18,41,340,0
258,0,0,12,57,437,0
259,0,0,24,58,339,0
260,0,2,21,56,351,0
261,1,1,3,54,339,0
262,0,0,9,64,226,0
263,0,0,3,25,221,0
264,0,0,12,51,289,0
265,0,0,6,38,299,0
266,0,0,3,32,316,0
267,0,0,12,48,335,0
268,1,2,6,54,295,0
269,0,0,15,38,266,0
270,0,0,3,67,313,0
271,0,1,9,32,257,0
272,0,1,27,28,254,0
273,0,0,3,17,217,0
274,0,0,12,19,243,0
275,0,0,3,55,267,0
276,0,1,15,63,259,0
277,0,0,12,17,224,0
278,0,0,18,46,235,0
279,0,0,18,37,318,0
280,0,2,6,61,301,0
281,0,0,12,16,194,0
282,0,0,9,19,290,0
283,0,1,9,31,262,0
284,0,1,9,29,333,0
285,0,0,0,33,269,0
286,0,0,6,44,227,0
287,0,0,12,59,246,0
288,0,0,9,72,285,0
289,0,0,3,46,279,0
290,0,1,18,30,338,0
291,0,0,12,56,282,0
292,0,2,9,29,292,0
293,1,2,3,27,151,0
294,0,0,3,31,228,0
295,0,0,3,28,256,0
296,0,1,3,62,293,0
297,0,0,6,49,281,0
298,1,1,0,39,237,0
299,0,0,6,40,339,0
300,0,0,12,35,267,0
301,0,0,12,54,319,0
302,0,1,3,54,293,0
303,0,1,3,19,250,0
304,0,0,15,50,266,0
305,0,2,0,29,316,0
306,0,0,9,17,238,0
307,1,2,3,65,398,0
308,0,0,15,28,308,0
309,0,1,6,34,306,0
310,0,0,9,19,305,0
311,0,0,12,37,237,0
312,0,0,6,26,190,0
313,0,0,3,43,301,0
314,0,1,6,26,201,0
315,0,0,9,28,236,0
316,0,0,6,15,237,0
317,0,0,9,42,201,0
318,0,0,9,43,250,0
319,0,0,21,21,299,0
320,0,0,6,12,228,0
321,0,0,9,41,332,0
322,0,0,3,33,241,0
323,0,0,3,34,234,0
324,0,0,3,20,169,0
325,0,1,9,28,232,0
326,0,0,0,29,263,0
327,0,0,12,33,234,0
328,0,0,6,16,198,0
329,0,0,18,26,162,0
330,0,0,12,44,184,0
331,0,1,6,35,274,0
332,0,0,3,47,258,0
333,0,1,12,21,193,0
334,0,0,6,19,209,0
335,0,1,6,32,191,0
336,0,0,12,17,257,0
337,0,0,3,20,260,0
338,0,1,9,21,198,0
339,0,1,12,34,179,0
340,0,0,15,38,195,0
341,1,1,9,14,227,0
342,0,0,6,21,231,0
343,0,0,15,32,200,0
344,0,1,12,24,268,0
345,0,2,9,26,215,0
346,0,0,6,47,173,0
347,0,0,15,31,202,0
348,0,0,18,36,227,0
349,0,0,6,25,150,0
350,0,0,9,20,160,0
