access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1096,558719,19707,92,183,0
2,370,69370,651,49,107,0
3,112,12764,390,17,35,0
4,50,5051,432,3,5,0
5,14,2275,381,2,3,0
6,13,1379,339,2,3,0
7,8,822,318,0,0,0
8,11,703,714,0,0,0
9,5,568,1215,0,0,0
10,3,428,594,1,2,0
11,3,335,840,0,3,0
12,3,351,681,0,0,0
13,1,238,738,0,0,0
14,1,287,624,0,0,0
15,4,214,543,0,0,0
16,1,205,462,0,0,0
17,4,180,519,0,0,0
18,1,159,339,0,0,0
19,3,175,390,0,0,0
20,0,143,306,1,1,0
21,1,125,351,0,1,0
22,4,142,315,0,0,0
23,1,92,306,1,1,0
24,1,84,297,0,0,0
25,1,84,258,0,0,0
26,1,114,279,0,0,0
27,1,86,261,0,0,0
28,1,89,243,0,0,0
29,0,60,255,0,0,0
30,0,73,210,0,0,0
31,0,58,225,0,0,0
32,1,76,183,0,0,0
33,0,61,201,0,0,0
34,0,73,192,0,0,0
35,0,42,177,0,0,0
36,0,38,156,0,1,0
37,1,44,150,0,0,0
38,0,26,192,0,2,0
39,0,24,180,0,0,0
40,0,29,168,0,1,0
41,2,31,171,0,0,0
42,0,18,279,0,0,0
43,0,25,915,0,0,0
44,0,23,522,0,0,0
45,0,10,549,0,0,0
46,0,20,591,0,0,0
47,0,17,576,0,0,0
48,0,12,570,0,0,0
49,0,18,567,0,0,0
50,0,20,426,0,0,0
51,0,20,498,0,0,0
52,1,21,438,0,0,0
53,0,10,525,0,0,0
54,0,17,480,0,0,0
55,1,16,513,0,0,0
56,0,8,420,0,0,0
57,1,13,483,0,0,0
58,1,16,507,0,0,0
59,0,8,462,0,0,0
60,0,9,393,0,0,0
61,0,18,423,0,0,0
62,0,7,453,0,0,0
63,0,9,348,0,0,0
64,0,16,459,0,0,0
65,0,7,390,0,0,0
66,0,10,378,0,0,0
67,0,9,327,0,0,0
68,0,4,357,0,0,0
69,0,9,372,0,0,0
70,0,10,447,0,0,0
71,0,11,420,0,0,0
72,0,9,294,0,0,0
73,0,20,327,0,0,0
74,0,23,342,0,0,0
75,1,8,372,0,0,0
76,0,16,402,0,0,0
77,0,3,312,0,0,0
78,0,3,303,0,0,0
79,0,6,321,0,0,0
80,1,9,336,0,0,0
81,0,9,300,0,0,0
82,0,9,336,0,0,0
83,0,6,294,0,0,0
84,1,9,243,0,0,0
85,2,12,363,0,0,0
86,3,8,237,0,0,0
87,0,2,288,0,0,0
88,0,5,297,0,0,0
89,0,6,306,0,0,0
90,0,1,336,0,0,0
91,1,9,243,0,0,0
92,0,4,246,0,0,0
93,0,8,270,0,0,0
94,1,8,252,0,0,0
95,0,1,300,0,0,0
96,0,2,264,0,0,0
97,1,4,258,0,0,0
98,0,10,252,0,0,0
99,1,5,249,0,0,0
100,0,4,309,0,0,0
101,0,5,261,0,0,0
102,1,4,270,0,0,0
103,0,14,222,0,0,0
104,0,6,258,0,0,0
105,0,4,282,0,0,0
106,0,6,243,0,0,0
107,0,12,243,0,0,0
108,0,3,240,0,0,0
109,0,3,243,0,0,0
110,0,9,291,0,0,0
111,0,5,297,0,0,0
112,0,4,300,0,0,0
113,0,2,288,0,0,0
114,1,2,270,0,0,0
115,0,6,264,0,0,0
116,0,9,276,0,0,0
117,0,6,219,0,0,0
118,0,2,240,0,0,0
119,0,4,279,0,0,0
120,1,3,243,0,0,0
121,0,2,279,0,0,0
122,0,1,228,0,0,0
123,1,3,231,0,0,0
124,0,3,192,0,0,0
125,0,0,219,0,0,0
126,0,4,210,0,0,0
127,0,6,264,0,0,0
128,0,1,297,0,0,0
129,0,3,258,0,0,0
130,0,3,189,0,0,0
131,0,4,165,0,0,0
132,0,1,189,0,0,0
133,0,2,165,0,0,0
134,0,5,213,0,0,0
135,0,2,153,0,0,0
136,0,3,144,0,0,0
137,0,3,144,0,0,0
138,0,7,132,0,0,0
139,0,2,162,0,0,0
140,0,1,135,0,0,0
141,0,2,120,0,0,0
142,0,2,165,0,0,0
143,0,1,156,0,0,0
144,0,3,159,0,0,0
145,0,0,156,0,0,0
146,0,1,231,0,0,0
147,0,2,162,0,0,0
148,0,4,159,0,0,0
149,0,1,174,0,0,0
150,0,2,138,0,0,0
151,0,1,186,0,0,0
152,0,0,159,0,0,0
153,0,0,120,0,0,0
154,0,2,174,0,0,0
155,0,1,183,0,0,0
156,0,2,171,0,0,0
157,1,1,156,0,0,0
158,0,5,162,0,0,0
159,0,2,102,0,0,0
160,0,4,135,0,0,0
161,0,11,138,0,0,0
162,0,8,126,0,0,0
163,0,2,129,0,0,0
164,0,2,120,0,0,0
165,0,4,102,0,0,0
166,0,0,123,0,0,0
167,0,6,108,0,0,0
168,0,1,96,0,0,0
169,0,1,126,0,0,0
170,0,12,81,0,0,0
171,0,15,129,0,0,0
172,0,21,138,0,0,0
173,0,23,123,0,0,0
174,0,30,135,0,0,0
175,0,36,147,0,0,0
176,0,33,147,0,0,0
177,0,26,153,0,0,0
178,0,10,129,0,0,0
179,0,14,114,0,0,0
180,0,15,132,0,0,0
181,0,17,93,0,0,0
182,0,21,93,0,0,0
183,0,40,138,0,0,0
184,0,31,102,0,0,0
185,0,31,99,0,0,0
186,0,31,135,0,0,0
187,0,61,111,0,0,0
188,1,46,105,0,0,0
189,0,35,84,0,0,0
190,0,37,117,0,0,0
191,1,29,87,0,0,0
192,0,36,96,0,0,0
193,0,42,81,0,0,0
194,0,54,129,0,0,0
195,0,53,93,0,0,0
196,1,40,135,0,0,0
197,0,53,105,0,0,0
198,2,67,138,0,0,0
199,1,61,108,0,0,0
200,1,52,111,0,0,0
201,2,55,150,0,0,0
202,3,63,93,0,0,0
203,0,48,75,0,0,0
204,3,46,120,0,0,0
205,2,64,102,0,0,0
206,1,53,108,0,0,0
207,2,37,90,0,0,0
208,2,44,99,0,0,0
209,2,46,99,0,0,0
210,2,59,93,0,0,0
211,1,48,102,0,0,0
212,1,72,114,0,0,0
