access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2321,621807,0,156,8787,0
2,336,33336,0,100,394,0
3,67,3474,0,18,21,0
4,44,3266,0,3,4,0
5,12,905,0,2,2,0
6,12,382,0,1,1,0
7,7,518,0,1,1,0
8,5,349,0,0,0,0
9,4,295,0,0,0,0
10,3,247,0,0,0,0
11,3,193,0,0,0,0
12,4,173,0,0,0,0
13,3,136,0,0,0,0
14,7,127,0,1,1,0
15,6,140,0,1,1,0
16,7,149,0,1,1,0
17,2,263,0,0,0,0
18,4,417,0,1,1,0
19,13,629,0,1,1,0
20,25,845,0,1,2,0
21,40,918,0,0,0,0
22,71,900,0,0,0,0
23,76,833,0,0,0,0
24,59,597,0,2,2,0
25,54,418,0,0,0,0
26,31,265,0,1,1,0
27,14,233,0,0,0,0
28,11,195,0,0,0,0
29,9,189,0,0,0,0
30,9,169,0,0,0,0
31,9,162,0,0,0,0
32,5,168,0,0,0,0
33,4,164,0,0,0,0
34,5,179,0,0,0,0
35,2,214,0,0,0,0
36,3,174,0,0,0,0
37,3,179,0,0,0,0
38,1,151,0,0,0,0
39,3,133,0,0,0,0
40,4,110,0,1,1,0
41,8,91,0,0,0,0
42,4,74,0,0,0,0
43,8,62,0,0,0,0
44,5,68,0,1,1,0
45,9,59,0,0,0,0
46,5,47,0,0,0,0
47,5,51,0,0,0,0
48,1,44,0,0,0,0
49,0,36,309,0,0,0
50,5,36,2307,0,0,0
51,0,39,1983,0,0,0
52,2,26,2160,0,0,0
53,4,41,1995,0,0,0
54,2,27,1743,0,0,0
55,0,29,1710,0,0,0
56,3,42,1479,0,0,0
57,2,27,1413,0,0,0
58,0,22,1206,0,0,0
59,2,41,1095,0,0,0
60,2,31,1029,0,0,0
61,0,26,948,0,0,0
62,1,29,900,0,0,0
63,1,18,819,0,0,0
64,5,22,861,0,0,0
65,2,15,831,0,0,0
66,0,17,777,0,0,0
67,2,23,600,0,0,0
68,1,17,537,0,0,0
69,2,19,537,0,0,0
70,2,17,504,0,0,0
71,0,25,459,0,0,0
72,2,23,486,0,0,0
73,1,13,642,0,0,0
74,1,20,555,0,0,0
75,0,20,489,0,0,0
76,0,18,420,0,0,0
77,0,21,417,0,0,0
78,1,16,354,0,0,0
79,0,9,366,0,0,0
80,1,24,339,0,0,0
81,1,16,357,0,0,0
82,0,6,462,0,0,0
83,0,16,387,0,0,0
84,0,13,363,0,0,0
85,0,7,399,0,0,0
86,2,21,348,0,0,0
87,0,9,405,0,0,0
88,1,14,372,0,0,0
89,1,12,339,0,0,0
90,0,4,270,0,0,0
91,1,5,270,0,0,0
92,2,13,303,0,0,0
93,0,11,270,0,0,0
94,2,12,264,0,0,0
95,1,10,333,0,0,0
96,0,8,291,0,0,0
97,0,10,222,0,0,0
98,0,9,204,0,0,0
99,1,9,243,0,0,0
100,0,2,213,0,0,0
101,0,8,231,0,0,0
102,0,6,240,0,0,0
103,0,11,216,0,0,0
104,1,18,201,0,0,0
105,1,10,237,0,0,0
106,0,7,198,0,0,0
107,1,9,183,0,0,0
108,0,4,201,0,0,0
109,0,2,159,0,0,0
110,0,4,168,0,0,0
111,0,7,186,0,0,0
112,1,8,201,0,0,0
113,1,10,177,0,8,0
114,0,7,192,0,103,0
115,2,6,183,0,401,0
116,0,5,192,2,955,0
117,0,5,195,31,1956,0
118,0,4,210,155,3548,0
119,0,3,162,379,5548,0
120,1,8,165,695,7177,0
121,0,1,189,1137,8114,0
122,1,6,150,1705,9353,0
123,0,2,150,2160,9527,0
124,0,4,141,2182,8318,0
125,0,4,147,2024,7006,0
126,1,8,180,1734,5687,0
127,1,5,135,1147,4429,0
128,0,5,132,773,3240,0
129,2,5,129,557,2754,0
130,0,2,117,509,2275,0
131,1,3,150,426,2204,0
132,0,7,96,397,2156,0
133,0,2,123,404,2168,0
134,0,1,153,435,2295,0
135,0,8,114,411,2076,0
136,0,2,132,378,2091,0
137,0,6,126,217,1685,0
138,0,2,132,250,1849,0
139,0,5,174,212,1722,0
140,0,6,126,248,1563,0
141,1,8,153,187,1420,0
142,0,1,120,203,1516,0
143,0,4,159,215,1325,0
144,0,2,126,218,1356,0
145,0,0,90,244,1401,0
146,0,5,108,216,1230,0
147,1,6,105,263,1330,0
148,0,2,96,214,1181,0
149,0,5,108,233,1269,0
150,0,3,69,163,1210,0
151,1,4,102,150,1079,0
152,0,3,93,130,1012,0
153,2,4,93,150,1137,0
154,0,2,102,117,982,0
155,1,5,84,145,1021,0
156,0,1,81,139,1099,0
157,0,2,84,175,1089,0
158,0,3,111,154,897,0
159,0,3,66,103,756,0
160,1,2,69,84,769,0
161,0,2,90,60,745,0
162,0,4,78,111,776,0
163,0,4,66,171,804,0
164,0,1,84,171,843,0
165,0,2,60,171,916,0
166,0,0,72,87,676,0
167,0,0,60,111,809,0
168,0,1,66,80,715,0
169,0,2,72,124,664,0
170,0,5,54,135,791,0
171,0,1,66,79,685,0
172,0,1,78,169,883,0
173,0,3,60,124,814,0
174,0,4,87,94,877,0
175,0,1,57,164,932,0
176,0,2,60,130,820,0
177,0,2,57,96,693,0
178,0,0,63,87,686,0
179,0,2,48,148,789,0
180,0,2,51,111,730,0
181,0,0,42,109,650,0
182,0,1,63,86,734,0
183,0,2,57,131,651,0
184,0,1,60,61,512,0
185,0,1,48,117,726,0
186,0,0,69,66,644,0
187,0,1,75,113,638,0
188,0,1,57,149,716,0
189,0,1,48,103,573,0
190,0,3,57,101,616,0
191,0,0,72,80,509,0
192,0,1,78,52,439,0
193,0,0,60,90,579,0
194,0,3,60,73,507,0
195,0,2,30,43,497,0
196,0,1,54,73,592,0
197,0,1,54,53,556,0
198,0,1,48,74,520,0
199,1,3,45,105,636,0
200,2,4,57,118,553,0
201,0,2,21,94,458,0
202,0,0,60,64,380,0
203,0,3,51,34,391,0
204,0,2,33,55,551,0
205,0,1,30,122,545,0
206,0,0,45,79,624,0
207,0,1,42,38,648,0
208,0,2,51,34,550,0
209,0,3,42,71,566,0
210,0,7,57,33,579,0
211,0,2,51,97,551,0
212,0,3,48,121,566,0
213,0,2,51,105,597,0
214,0,3,30,57,488,0
215,0,4,39,61,561,0
216,0,0,33,42,500,0
217,1,2,39,80,517,0
218,0,4,39,86,546,0
219,0,2,36,52,538,0
220,0,0,57,95,566,0
221,0,2,42,52,399,0
222,0,0,39,46,407,0
223,0,0,51,44,358,0
224,0,2,30,84,436,0
225,0,3,36,57,507,0
226,0,1,33,77,447,0
227,0,0,30,83,531,0
228,0,2,30,88,642,0
229,0,1,39,58,533,0
230,0,1,39,84,423,0
231,0,1,51,102,486,0
232,0,1,21,40,393,0
233,0,0,39,69,354,0
234,1,2,39,43,303,0
235,0,2,45,81,368,0
236,0,2,24,39,411,0
