access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
218,2,4,18,50,1602,0
219,0,0,18,18,1922,0
220,0,3,18,57,1737,0
221,0,6,12,61,1830,0
222,0,3,6,46,1429,0
223,0,3,9,20,1450,0
224,0,4,15,21,1760,0
225,0,2,15,52,1669,0
226,0,2,12,62,1165,0
227,0,1,12,39,1378,0
228,0,2,18,95,1364,0
229,1,6,9,71,1362,0
230,1,3,6,32,1400,0
231,0,3,9,46,1167,0
232,1,3,30,42,1199,0
233,0,1,30,56,1154,0
234,0,1,6,23,1048,0
235,0,3,30,59,1244,0
236,0,0,18,19,1027,0
237,0,2,18,13,1096,0
238,0,2,9,8,1306,0
239,1,5,6,16,1765,0
240,0,2,24,23,1306,0
241,0,1,21,24,1110,0
242,0,0,12,21,994,0
243,0,0,15,38,895,0
244,0,3,33,19,925,0
245,1,7,12,37,990,0
246,0,2,9,35,952,0
247,0,3,9,31,1080,0
248,0,4,0,36,1404,0
249,0,3,3,42,1121,0
250,0,5,12,26,785,0
251,0,3,15,90,905,0
252,0,5,3,10,676,0
253,0,2,12,21,1060,0
254,0,0,18,6,932,0
255,0,1,3,21,926,0
256,0,2,30,61,894,0
257,0,1,9,24,900,0
258,0,3,21,21,1303,0
259,0,1,30,44,1203,0
260,0,1,6,22,978,0
261,0,3,9,42,1126,0
262,0,1,18,59,1154,0
263,0,0,9,77,1236,0
264,0,0,21,4,816,0
265,0,1,15,17,937,0
266,0,1,18,26,1200,0
267,0,0,27,17,1087,0
268,0,1,9,10,1155,0
269,0,1,9,37,1124,0
270,0,1,9,2,881,0
271,1,3,21,20,993,0
272,0,0,21,9,1019,0
273,0,2,18,32,936,0
274,0,1,24,23,936,0
275,0,2,27,1,551,0
276,0,3,15,53,1004,0
277,0,1,9,40,848,0
278,0,1,6,3,932,0
279,0,3,12,19,999,0
280,0,0,18,21,834,0
281,0,0,9,20,925,0
282,0,5,21,3,858,0
283,0,3,15,2,645,0
284,0,3,15,0,736,0
285,0,1,15,68,821,0
286,0,1,18,7,698,0
287,0,2,12,19,755,0
288,1,1,12,18,949,0
289,0,1,12,24,833,0
290,0,0,15,3,678,0
291,0,3,6,21,813,0
292,0,2,18,39,697,0
293,0,0,21,19,797,0
294,0,2,9,16,716,0
295,0,2,15,15,766,0
296,0,0,6,1,714,0
297,0,3,6,26,808,0
298,0,4,3,12,785,0
299,0,0,12,20,624,0
300,1,2,9,0,771,0
301,0,1,3,15,821,0
302,0,1,6,20,781,0
303,0,1,9,24,700,0
304,0,1,6,21,772,0
305,1,2,9,11,918,0
306,0,2,3,16,571,0
307,0,1,0,31,846,0
308,0,0,9,1,874,0
309,0,0,6,19,689,0
310,0,0,9,18,485,0
311,0,0,6,0,668,0
312,0,1,9,0,621,0
313,0,3,9,40,616,0
314,0,0,9,3,792,0
315,0,1,6,3,807,0
316,0,1,9,37,822,0
317,0,2,18,19,557,0
318,0,3,6,25,603,0
319,0,2,12,14,692,0
320,0,1,15,17,640,0
321,1,1,9,22,624,0
322,0,6,12,0,526,0
323,0,4,3,0,747,0
324,0,3,9,0,701,0
325,0,0,15,19,641,0
326,0,1,12,18,721,0
327,0,3,3,0,864,0
328,0,2,0,0,791,0
329,0,1,3,1,820,0
330,0,0,9,0,598,0
331,0,1,6,0,635,0
332,0,2,6,0,947,0
333,0,0,3,18,727,0
334,0,1,3,18,656,0
335,0,2,3,24,570,0
336,0,2,21,13,488,0
337,0,0,3,0,690,0
338,0,1,15,33,530,0
339,0,2,3,6,398,0
340,0,4,24,17,427,0
341,0,0,3,0,467,0
342,0,2,3,11,410,0
343,0,5,6,7,561,0
344,0,1,6,0,423,0
345,0,3,18,46,421,0
346,0,1,15,52,568,0
347,0,1,6,32,514,0
348,1,3,3,21,377,0
349,0,0,9,37,528,0
350,0,0,12,27,420,0
351,0,2,3,26,543,0
352,0,2,12,51,493,0
353,1,1,0,5,541,0
354,0,0,0,36,685,0
355,0,2,9,54,638,0
356,0,0,12,40,592,0
357,0,2,15,61,539,0
358,0,0,0,71,574,0
359,0,1,12,11,469,0
360,0,1,9,9,261,0
361,0,0,12,11,441,0
362,0,0,6,28,549,0
363,1,1,0,0,242,0
364,0,0,9,1,351,0
365,0,1,6,7,432,0
366,0,0,12,11,498,0
367,0,0,9,5,426,0
368,0,0,3,13,578,0
369,0,0,3,0,383,0
370,0,1,0,0,189,0
371,0,0,6,1,312,0
372,0,1,9,49,494,0
373,0,0,3,34,481,0
374,0,2,6,12,236,0
375,0,0,3,0,402,0
376,0,0,3,0,236,0
377,0,0,0,20,313,0
378,0,0,3,0,267,0
379,0,2,3,0,314,0
380,0,0,6,0,370,0
381,0,0,3,0,390,0
382,0,1,3,0,384,0
