access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1554,612994,6222,198,8762,0
2,140,32995,4680,96,393,0
3,32,3370,3558,18,21,0
4,10,3136,3654,3,4,0
5,6,817,3786,2,2,0
6,6,397,3789,1,1,0
7,4,539,3408,1,1,0
8,7,312,2580,0,0,0
9,1,282,2904,0,0,0
10,1,231,3099,0,0,0
11,1,179,2202,0,0,0
12,1,197,1941,0,0,0
13,0,136,1950,0,0,0
14,0,129,1623,1,1,0
15,0,132,1449,1,1,0
16,1,133,1386,1,1,0
17,1,220,1023,0,0,0
18,0,366,1176,1,1,0
19,3,559,807,1,1,0
20,3,815,996,1,2,0
21,4,870,801,0,0,0
22,4,841,798,0,0,0
23,6,799,735,0,0,0
24,24,656,651,2,2,0
25,24,469,591,0,0,0
26,25,367,414,1,1,0
27,10,232,366,0,0,0
28,2,156,375,0,0,0
29,0,148,306,0,0,0
30,1,118,372,0,0,0
31,2,148,312,0,0,0
32,3,178,297,0,0,0
33,2,183,285,0,0,0
34,1,184,267,0,0,0
35,4,194,273,0,0,0
36,1,218,189,0,0,0
37,3,190,243,0,0,0
38,0,197,258,0,0,0
39,0,155,1338,0,0,0
40,0,129,1797,1,1,0
41,3,88,1908,0,0,0
42,0,82,1665,0,0,0
43,0,57,1494,0,0,0
44,0,73,1563,1,1,0
45,0,64,1548,0,0,0
46,1,46,1425,0,0,0
47,1,56,1803,0,0,0
48,0,49,1194,0,0,0
49,0,34,1095,0,0,0
50,0,38,1053,0,0,0
51,0,43,873,0,0,0
52,1,31,849,0,0,0
53,0,40,780,0,0,0
54,0,26,789,0,0,0
55,1,25,588,0,0,0
56,0,32,561,0,0,0
57,0,24,681,0,0,0
58,0,19,570,0,0,0
59,0,44,540,0,0,0
60,0,34,543,0,0,0
61,0,29,462,0,0,0
62,0,30,417,0,0,0
63,0,24,411,0,0,0
64,0,20,336,0,0,0
65,0,22,375,0,0,0
66,0,14,279,0,0,0
67,0,19,321,0,0,0
68,0,19,291,0,0,0
69,0,11,294,0,0,0
70,0,30,228,0,0,0
71,0,20,186,0,0,0
72,0,20,204,0,0,0
73,0,23,297,0,0,0
74,0,23,216,0,0,0
75,0,14,204,0,0,0
76,0,13,216,0,0,0
77,0,21,183,0,0,0
78,0,12,198,0,0,0
79,0,15,141,0,0,0
80,0,24,126,0,0,0
81,0,12,186,0,0,0
82,0,11,135,0,0,0
83,0,16,138,0,0,0
84,0,14,150,0,0,0
85,0,10,135,0,0,0
86,0,16,105,0,0,0
87,0,9,138,0,0,0
88,0,7,150,0,0,0
89,0,16,150,0,0,0
90,0,9,117,0,0,0
91,0,3,102,0,0,0
92,0,8,141,0,0,0
93,0,13,87,0,0,0
94,0,12,81,0,0,0
95,0,15,99,0,0,0
96,0,8,114,0,0,0
97,0,10,111,0,0,0
98,0,7,66,0,0,0
99,0,3,102,0,0,0
100,0,8,78,0,0,0
101,0,8,99,0,0,0
102,0,5,123,0,0,0
103,0,9,60,0,0,0
104,0,18,63,0,0,0
105,1,9,72,0,0,0
106,0,2,84,0,0,0
107,0,9,78,0,0,0
108,0,4,78,0,0,0
109,0,0,81,0,0,0
110,0,5,54,0,0,0
111,0,7,81,0,0,0
112,0,7,66,0,0,0
113,0,6,57,0,25,0
114,0,6,69,0,228,0
115,0,8,87,0,713,0
116,0,5,51,3,1448,0
117,0,4,69,60,2737,0
118,0,5,69,242,4943,0
119,0,4,72,646,6729,0
120,0,4,60,1102,8352,0
121,0,1,51,1795,9002,0
122,0,7,57,2465,10124,0
123,0,3,51,3202,10077,0
124,0,5,72,3001,8534,0
125,0,1,36,2690,6994,0
126,0,7,63,2200,5704,0
127,0,8,36,1499,4436,0
128,0,5,66,995,3195,0
129,0,5,66,704,2784,0
130,0,0,54,643,2373,0
131,0,5,66,531,2280,0
132,0,4,39,548,2450,0
133,0,5,27,563,2246,0
134,0,3,60,644,2486,0
135,0,4,42,561,2045,0
136,0,4,30,500,2154,0
137,0,2,42,299,1696,0
138,0,4,42,365,1959,0
139,0,4,66,263,1674,0
140,0,4,42,298,1582,0
141,0,3,54,261,1478,0
142,0,3,30,286,1540,0
143,0,4,39,293,1363,0
144,1,1,45,285,1426,0
145,0,5,45,329,1437,0
146,0,8,36,283,1269,0
147,0,3,27,345,1389,0
148,0,4,39,285,1327,0
149,0,4,48,308,1263,0
150,0,3,48,225,1317,0
151,0,2,21,206,1145,0
152,0,3,27,173,1091,0
153,0,4,48,212,1149,0
154,0,2,36,156,999,0
155,0,3,27,241,1119,0
156,0,4,3,208,1118,0
157,0,3,27,240,1101,0
158,0,1,36,222,844,0
159,0,4,36,146,857,0
160,0,1,33,107,725,0
161,0,2,9,115,792,0
162,0,2,21,182,900,0
163,1,4,30,209,797,0
164,0,5,21,236,935,0
