access,reuse distance for all0,reuse distance for all1,reuse distance for all2
382,1,48,239
383,0,32,246
384,0,47,209
385,1,53,237
386,1,50,240
387,0,74,255
388,0,71,284
389,1,67,263
390,2,65,283
391,0,76,254
392,0,70,243
393,0,63,260
394,1,75,238
395,1,57,224
396,0,63,209
397,0,66,221
398,0,51,284
399,0,47,244
400,2,54,213
401,0,56,215
402,0,45,221
403,0,44,238
404,0,39,222
405,0,43,246
406,0,46,270
407,0,57,283
408,0,69,253
409,0,79,249
410,2,58,257
411,2,59,248
412,0,76,232
413,0,59,316
414,0,51,239
415,1,65,246
416,0,88,296
417,0,59,241
418,0,47,254
419,0,71,265
420,0,59,263
421,1,55,249
422,2,26,206
423,0,41,226
424,0,49,233
425,3,23,242
426,0,28,241
427,0,43,230
428,0,69,221
429,0,55,239
430,0,50,261
431,0,52,240
432,0,79,249
433,0,74,209
434,0,83,220
435,1,70,236
436,1,41,193
437,2,64,196
438,1,48,180
439,2,64,237
440,1,72,260
441,1,48,237
442,0,27,229
443,2,23,193
444,1,33,234
445,0,33,237
446,1,30,241
447,0,28,199
448,0,30,214
449,0,37,218
450,0,41,222
451,0,24,234
452,1,28,230
453,0,26,171
454,0,23,214
455,0,27,250
456,0,32,223
457,1,20,238
458,0,38,238
459,0,42,248
460,1,32,224
461,0,25,206
462,0,16,186
463,0,26,200
464,0,33,161
465,0,32,190
466,0,22,175
467,0,37,218
468,1,31,192
469,0,50,208
470,0,44,223
471,0,32,187
472,1,24,229
473,1,12,184
474,1,20,200
475,0,24,183
476,0,28,225
477,1,23,219
478,0,20,148
479,0,20,168
480,1,28,177
481,0,27,168
482,0,27,209
483,0,45,203
484,0,46,202
485,0,45,181
486,0,55,201
487,0,45,177
488,0,31,160
489,0,22,201
490,0,14,190
491,0,28,182
492,0,23,187
493,0,18,194
494,0,13,191
495,0,20,207
496,0,24,231
497,0,26,187
498,0,40,178
499,0,22,196
500,0,21,176
501,0,9,144
502,0,19,177
503,0,16,148
504,1,7,136
505,0,7,168
506,0,7,188
507,0,14,151
508,1,19,175
509,0,18,152
510,0,18,116
511,0,24,138
512,2,28,132
513,0,36,135
514,0,32,139
515,0,21,137
516,1,28,127
517,0,40,121
518,0,28,136
519,0,22,182
520,0,30,168
521,0,26,145
522,0,28,159
523,0,34,149
524,0,28,184
525,0,21,163
526,0,19,135
527,0,23,139
528,0,24,148
529,0,21,165
530,0,24,160
531,0,22,145
532,0,36,115
533,0,24,121
534,0,31,140
535,0,14,142
536,0,33,123
537,0,24,109
538,0,20,103
539,0,21,91
540,0,18,125
541,0,18,94
542,0,29,122
543,1,33,127
544,0,29,119
545,0,51,132
546,0,65,110
