access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
217,0,1,39,0,468,108
218,0,5,45,0,487,87
219,0,1,54,0,470,111
220,0,1,45,0,505,90
221,0,1,60,0,433,114
222,0,1,60,0,331,96
223,0,1,24,0,349,102
224,0,2,36,0,349,141
225,0,2,54,0,437,99
226,0,2,33,0,405,117
227,0,1,33,0,434,75
228,0,2,42,0,600,120
229,0,0,39,0,532,78
230,0,1,33,0,407,114
231,0,1,24,0,469,81
232,0,1,33,0,356,90
233,0,0,48,0,351,90
234,0,1,57,0,292,87
235,0,1,45,0,296,84
236,0,2,21,0,381,51
237,0,1,33,0,342,114
238,0,2,30,0,345,57
239,0,4,36,0,433,84
240,0,3,27,0,444,102
241,0,2,12,0,318,60
242,0,1,24,0,325,81
243,0,5,48,0,376,60
244,0,5,27,0,456,60
245,0,4,21,0,359,54
246,0,2,18,0,302,48
247,0,6,33,0,247,78
248,0,1,27,0,256,48
249,0,2,24,0,399,75
250,0,2,21,0,336,45
251,0,0,24,0,280,63
252,0,0,27,0,318,51
253,0,2,21,0,306,48
254,0,0,27,0,327,33
255,0,0,15,0,421,60
256,0,1,30,0,336,63
257,0,0,36,0,369,57
258,0,0,36,0,410,30
259,0,1,21,0,328,45
260,0,0,24,0,326,39
261,0,2,30,0,329,39
262,0,0,21,0,230,39
263,0,0,30,0,196,24
264,0,0,18,0,246,42
265,0,0,21,0,245,45
266,0,0,27,0,286,36
267,0,1,21,0,284,45
268,0,1,18,0,278,27
269,0,0,18,0,277,42
270,0,0,27,0,265,36
271,0,1,12,0,289,36
272,0,1,33,0,233,45
273,0,0,24,0,221,30
274,0,0,12,0,221,42
275,0,0,27,0,232,21
276,0,1,27,0,248,36
277,0,0,30,0,239,36
278,0,0,33,0,212,33
279,0,0,51,0,317,36
280,0,2,18,0,312,57
281,0,0,27,0,218,30
282,0,1,18,0,254,54
283,0,1,18,0,231,36
284,0,0,12,0,324,33
285,0,0,21,0,257,60
286,0,0,6,0,212,42
287,0,0,18,0,207,54
288,0,0,24,0,213,39
289,0,0,24,0,268,42
290,0,1,27,0,297,30
291,0,0,27,0,243,30
292,0,2,39,0,284,30
293,0,3,33,0,179,45
294,0,0,15,0,195,24
295,0,0,30,0,188,30
296,0,1,21,0,286,15
297,0,0,24,0,293,30
298,0,0,6,0,218,15
299,0,0,12,0,369,27
300,0,0,15,0,238,24
301,0,0,27,0,308,30
302,0,1,15,0,265,36
303,0,1,18,0,257,36
304,0,0,9,0,271,39
305,0,2,18,0,281,21
306,0,1,30,0,238,21
307,0,1,9,0,352,15
308,0,0,24,0,290,45
309,0,1,21,0,306,12
310,0,0,18,0,314,39
311,0,0,18,0,304,18
312,0,0,24,0,172,30
313,0,0,6,0,280,21
314,0,0,12,0,209,33
315,0,1,18,0,243,18
316,0,0,27,0,212,36
317,0,0,18,0,236,33
318,0,0,12,0,225,24
319,0,0,12,0,253,33
320,0,0,9,0,241,30
321,0,0,18,0,324,15
322,0,0,15,0,229,39
323,0,0,15,0,201,21
324,0,0,21,0,186,30
325,0,1,18,0,208,24
326,0,0,9,0,216,27
327,0,0,21,0,219,21
328,0,0,12,0,224,27
329,0,0,15,0,169,30
330,0,0,15,0,174,30
331,0,0,27,0,244,39
332,0,1,15,0,307,15
333,0,1,12,0,200,30
334,0,1,6,0,166,42
335,0,0,24,0,153,18
336,0,0,24,0,221,36
337,0,0,18,0,220,18
338,0,0,21,0,207,21
339,0,1,9,0,222,18
340,0,2,15,0,217,30
341,0,1,6,0,212,18
342,0,0,9,0,221,27
343,0,0,27,0,189,18
344,0,0,9,0,233,12
345,0,2,15,0,252,15
346,0,0,18,0,186,12
347,0,0,27,0,179,18
348,0,1,24,0,206,24
349,0,0,18,0,182,21
350,0,0,15,0,182,30
351,0,1,12,0,170,33
352,0,0,6,0,264,24
353,0,1,27,0,157,30
354,0,1,15,0,133,24
355,0,0,9,0,112,15
356,0,0,12,0,175,18
357,0,0,21,0,217,30
358,0,0,18,0,222,12
359,0,0,27,0,146,24
360,0,0,12,0,124,9
361,0,1,15,0,237,18
362,0,0,15,0,262,27
363,0,0,15,0,300,24
364,0,0,12,0,258,15
365,0,0,6,0,202,15
366,0,2,6,0,206,15
367,0,0,9,0,238,18
368,0,0,3,0,196,21
369,0,0,9,0,180,21
370,0,0,21,0,190,15
371,0,0,6,0,166,9
372,0,1,9,0,198,15
373,0,0,6,0,120,15
374,0,1,18,0,233,15
375,0,0,3,0,186,24
376,0,0,6,0,164,18
377,0,0,9,0,230,30
378,0,0,15,0,169,21
379,0,0,6,0,194,24
380,0,0,24,0,131,30
381,0,0,9,0,163,21
382,0,1,9,0,181,18
383,0,0,15,0,199,15
384,0,1,15,0,207,30
385,0,0,9,0,204,15
386,0,1,24,0,133,21
387,0,0,15,0,153,24
388,0,0,9,0,257,18
389,0,0,21,0,217,24
390,0,0,6,0,232,18
391,0,0,21,0,182,21
392,0,3,3,0,187,15
393,0,0,15,0,181,30
394,0,2,6,0,163,9
395,0,1,18,0,195,15
396,0,3,12,0,189,12
397,0,1,9,0,198,21
398,0,0,6,0,161,18
399,0,1,18,0,154,21
400,0,2,3,0,168,18
401,0,0,12,0,134,36
402,0,1,12,0,129,6
403,0,0,9,0,82,18
404,0,0,9,0,83,12
405,0,0,12,0,159,18
406,0,1,9,0,143,12
407,0,0,15,0,84,27
408,0,0,9,0,121,12
409,0,0,15,0,145,24
410,0,0,0,0,168,3
411,0,0,12,0,146,21
412,0,0,6,0,141,9
413,0,0,6,0,148,12
414,0,0,12,0,147,9
415,0,2,12,0,220,15
416,0,0,3,0,177,6
417,0,0,0,0,157,18
418,0,0,3,0,147,15
419,0,1,6,0,133,9
420,0,0,9,0,170,15
421,0,0,15,0,137,6
422,0,0,15,0,244,21
423,0,0,24,0,120,9
424,0,0,3,0,124,21
425,0,0,9,0,135,18
426,0,1,6,0,184,18
427,0,0,12,0,122,30
428,0,1,21,0,128,24
429,0,0,15,0,114,15
430,0,0,0,0,101,15
431,0,0,12,0,71,21
432,0,0,6,0,113,18
433,0,1,9,0,151,12
434,0,1,9,0,114,12
435,0,1,21,0,111,18
436,0,0,6,0,149,15
437,0,0,12,0,143,6
438,0,0,9,0,116,21
439,0,0,12,0,180,0
440,0,1,9,0,144,12
441,0,0,9,0,132,12
442,0,0,3,0,140,21
443,0,0,3,0,141,15
444,0,1,6,0,118,15
