access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2736,622668,0,156,8857,0
2,521,32950,0,99,400,0
3,108,3283,0,18,21,0
4,51,3257,0,3,4,0
5,16,921,0,2,2,0
6,16,376,0,1,1,0
7,10,540,0,1,1,0
8,9,324,0,0,0,0
9,8,291,0,0,0,0
10,8,250,0,0,0,0
11,3,185,0,0,0,0
12,7,189,0,0,0,0
13,5,151,0,0,0,0
14,6,162,0,1,1,0
15,5,149,0,1,1,0
16,7,157,0,1,1,0
17,9,302,0,0,0,0
18,37,500,0,1,1,0
19,53,725,0,1,1,0
20,78,975,0,1,2,0
21,95,992,0,0,0,0
22,100,881,0,0,0,0
23,84,731,0,0,0,0
24,86,499,0,2,2,0
25,52,327,0,0,0,0
26,21,239,0,1,1,0
27,16,202,0,0,0,0
28,13,174,0,0,0,0
29,14,162,0,0,0,0
30,12,153,0,0,0,0
31,7,155,0,0,0,0
32,6,161,0,0,0,0
33,5,162,0,0,0,0
34,4,196,0,0,0,0
35,4,205,0,0,0,0
36,6,175,0,0,0,0
37,10,155,0,0,0,0
38,4,156,0,0,0,0
39,5,125,0,0,0,0
40,5,101,0,1,1,0
41,12,96,0,0,0,0
42,8,58,0,0,0,0
43,9,67,0,0,0,0
44,7,62,0,1,1,0
45,10,53,0,0,0,0
46,8,49,0,0,0,0
47,5,56,0,0,0,0
48,8,42,0,0,0,0
49,4,31,15,0,0,0
50,5,37,27,0,0,0
51,0,35,42,0,0,0
52,3,29,51,0,0,0
53,5,41,60,0,0,0
54,3,23,30,0,0,0
55,5,33,33,0,0,0
56,2,36,27,0,0,0
57,2,35,39,0,0,0
58,1,18,27,0,0,0
59,3,40,36,0,0,0
60,4,26,24,0,0,0
61,3,33,30,0,0,0
62,3,19,42,0,0,0
63,3,20,24,0,0,0
64,5,24,42,0,0,0
65,3,21,33,0,0,0
66,1,14,27,0,0,0
67,6,22,21,0,0,0
68,6,18,24,0,0,0
69,5,15,39,0,0,0
70,2,22,30,0,0,0
71,5,25,33,0,0,0
72,1,20,18,0,0,0
73,1,13,27,0,0,0
74,2,22,27,0,0,0
75,2,20,18,0,0,0
76,1,23,21,0,0,0
77,3,17,27,0,0,0
78,2,14,78,0,0,0
79,1,14,75,0,0,0
80,1,18,72,0,0,0
81,3,13,54,0,0,0
82,2,12,57,0,0,0
83,0,16,36,0,0,0
84,0,10,30,0,0,0
85,2,9,39,0,0,0
86,3,15,45,0,0,0
87,0,12,42,0,0,0
88,3,12,39,0,0,0
89,1,16,54,0,0,0
90,1,5,30,0,0,0
91,1,4,39,0,0,0
92,1,9,30,0,0,0
93,0,10,42,0,0,0
94,5,14,36,0,0,0
95,1,11,27,0,0,0
96,2,9,42,0,0,0
97,1,11,9,0,0,0
98,1,5,42,0,0,0
99,1,7,18,0,0,0
100,2,8,36,0,0,0
101,1,10,33,0,0,0
102,3,9,21,0,0,0
103,1,15,30,0,0,0
104,2,15,21,0,0,0
105,2,4,27,0,0,0
106,0,7,21,0,0,0
107,1,6,24,0,0,0
108,1,1,30,0,0,0
109,1,6,24,0,0,0
110,1,5,9,0,0,0
