access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,1598,615045,6063,198,8771,0
2,156,33293,4881,103,393,0
3,30,3398,3447,18,21,0
4,5,3066,3612,3,4,0
5,2,874,3795,2,2,0
6,4,387,3720,1,1,0
7,10,539,3486,1,1,0
8,6,320,2772,0,0,0
9,1,300,3015,0,0,0
10,1,220,3219,0,0,0
11,1,200,2352,0,0,0
12,2,180,2034,0,0,0
13,0,133,1956,0,0,0
14,0,127,1773,1,1,0
15,1,122,1524,1,1,0
16,0,136,1347,1,1,0
17,1,217,1143,0,0,0
18,1,356,1326,1,1,0
19,1,557,1041,1,1,0
20,7,809,1206,1,2,0
21,7,854,888,0,0,0
22,10,834,903,0,0,0
23,8,819,972,0,0,0
24,25,645,870,2,2,0
25,23,471,651,0,0,0
26,22,351,531,1,1,0
27,11,235,441,0,0,0
28,3,171,414,0,0,0
29,1,134,369,0,0,0
30,3,116,414,0,0,0
31,2,135,336,0,0,0
32,3,165,315,0,0,0
33,3,168,309,0,0,0
34,2,164,270,0,0,0
35,1,174,330,0,0,0
36,2,173,210,0,0,0
37,2,174,234,0,0,0
38,0,194,267,0,0,0
39,0,170,249,0,0,0
40,0,154,228,1,1,0
41,4,111,261,0,0,0
42,0,92,249,0,0,0
43,0,79,285,0,0,0
44,0,83,231,1,1,0
45,0,69,258,0,0,0
46,0,67,777,0,0,0
47,1,63,321,0,0,0
48,1,47,324,0,0,0
49,0,50,1251,0,0,0
50,0,40,1473,0,0,0
51,0,37,1371,0,0,0
52,0,38,1296,0,0,0
53,0,40,1290,0,0,0
54,0,28,1185,0,0,0
55,0,30,1083,0,0,0
56,0,40,948,0,0,0
57,0,23,1071,0,0,0
58,1,23,894,0,0,0
59,0,41,843,0,0,0
60,0,27,783,0,0,0
61,0,28,708,0,0,0
62,1,35,696,0,0,0
63,0,29,657,0,0,0
64,0,25,600,0,0,0
65,0,21,636,0,0,0
66,0,15,558,0,0,0
67,0,20,561,0,0,0
68,0,23,465,0,0,0
69,0,14,462,0,0,0
70,0,19,396,0,0,0
71,0,31,324,0,0,0
72,0,20,345,0,0,0
73,1,12,354,0,0,0
74,0,24,276,0,0,0
75,0,17,249,0,0,0
76,0,18,291,0,0,0
77,0,23,210,0,0,0
78,0,14,264,0,0,0
79,0,15,237,0,0,0
80,0,19,246,0,0,0
81,0,15,195,0,0,0
82,0,10,219,0,0,0
83,0,18,156,0,0,0
84,0,11,189,0,0,0
85,0,10,147,0,0,0
86,0,19,144,0,0,0
87,0,12,159,0,0,0
88,0,8,156,0,0,0
89,0,17,165,0,0,0
90,0,4,114,0,0,0
91,0,3,105,0,0,0
92,0,11,120,0,0,0
93,0,13,102,0,0,0
94,0,13,90,0,0,0
95,0,16,90,0,0,0
96,0,8,93,0,0,0
97,0,8,99,0,0,0
98,0,9,78,0,0,0
99,0,3,102,0,0,0
100,0,7,87,0,0,0
101,0,7,93,0,0,0
102,0,5,93,0,0,0
103,0,10,78,0,0,0
104,0,14,72,0,0,0
105,0,8,69,0,0,0
106,1,8,72,0,0,0
107,0,6,93,0,0,0
108,0,5,78,0,0,0
109,0,1,78,0,0,0
110,0,6,54,0,0,0
111,0,5,57,0,0,0
112,0,6,63,0,0,0
113,0,8,75,0,32,0
114,0,8,72,0,274,0
115,0,5,78,0,761,0
116,0,2,57,3,1506,0
117,0,6,63,60,2785,0
118,0,7,60,242,5086,0
119,0,6,69,652,6895,0
120,0,2,78,1107,8377,0
121,0,5,60,1805,8954,0
122,0,3,60,2473,10042,0
123,0,3,69,3216,10147,0
124,0,3,60,2996,8453,0
125,0,4,33,2716,7018,0
