access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2727,622533,0,156,8853,0
2,490,33009,0,100,393,0
3,102,3314,0,18,23,0
4,47,3257,0,3,4,0
5,17,894,0,2,2,0
6,14,378,0,1,1,0
7,11,522,0,1,1,0
8,8,341,0,0,0,0
9,9,291,0,0,0,0
10,7,235,0,0,0,0
11,4,199,0,0,0,0
12,6,180,0,0,0,0
13,6,148,0,0,0,0
14,7,155,0,1,1,0
15,4,157,0,1,1,0
16,8,147,0,1,1,0
17,3,263,0,0,0,0
18,11,443,0,1,1,0
19,44,687,0,1,1,0
20,85,934,0,1,2,0
21,91,1003,0,0,0,0
22,113,921,0,0,0,0
23,91,777,0,0,0,0
24,75,530,0,2,2,0
25,59,345,0,0,0,0
26,27,256,0,1,1,0
27,14,231,0,0,0,0
28,17,155,0,0,0,0
29,14,169,0,0,0,0
30,9,141,0,0,0,0
31,8,152,0,0,0,0
32,7,168,0,0,0,0
33,6,167,0,0,0,0
34,5,180,0,0,0,0
35,2,212,0,0,0,0
36,6,173,0,0,0,0
37,6,163,0,0,0,0
38,9,148,0,0,0,0
39,3,134,0,0,0,0
40,7,108,0,1,1,0
41,10,91,0,0,0,0
42,7,68,0,0,0,0
43,9,62,0,0,0,0
44,6,66,0,1,1,0
45,14,59,0,0,0,0
46,5,47,0,0,0,0
47,7,48,0,0,0,0
48,5,46,0,0,0,0
49,3,32,99,0,0,0
50,8,42,294,0,0,0
51,1,30,237,0,0,0
52,1,26,240,0,0,0
53,5,41,255,0,0,0
54,4,32,237,0,0,0
55,2,26,267,0,0,0
56,3,42,222,0,0,0
57,2,27,264,0,0,0
58,3,22,219,0,0,0
59,3,40,180,0,0,0
60,4,29,162,0,0,0
61,3,22,168,0,0,0
62,3,28,150,0,0,0
63,2,17,168,0,0,0
64,6,26,159,0,0,0
65,2,18,183,0,0,0
66,2,16,144,0,0,0
67,6,25,102,0,0,0
68,3,11,111,0,0,0
69,5,17,117,0,0,0
70,3,20,105,0,0,0
71,3,29,120,0,0,0
72,2,21,87,0,0,0
73,1,12,144,0,0,0
74,0,20,138,0,0,0
75,4,24,144,0,0,0
76,0,15,114,0,0,0
77,2,22,114,0,0,0
78,2,15,180,0,0,0
79,2,10,177,0,0,0
80,1,20,138,0,0,0
81,1,15,141,0,0,0
82,1,8,150,0,0,0
83,1,19,102,0,0,0
84,1,13,126,0,0,0
85,2,8,105,0,0,0
86,3,18,120,0,0,0
87,0,8,111,0,0,0
88,1,15,165,0,0,0
89,3,16,126,0,0,0
90,1,6,78,0,0,0
91,1,3,117,0,0,0
92,1,10,120,0,0,0
93,0,8,111,0,0,0
94,4,13,87,0,0,0
95,1,11,108,0,0,0
96,1,11,90,0,0,0
97,1,11,81,0,0,0
98,1,9,66,0,0,0
99,2,4,96,0,0,0
100,0,4,87,0,0,0
101,2,10,78,0,0,0
102,1,10,105,0,0,0
103,3,11,60,0,0,0
104,3,20,63,0,0,0
105,2,7,72,0,0,0
106,0,6,57,0,0,0
107,1,4,81,0,0,0
108,1,2,69,0,0,0
109,0,2,60,0,0,0
110,1,8,33,0,0,0
111,0,9,63,0,0,0
112,2,8,57,0,0,0
113,1,7,57,0,1,0
114,1,6,81,0,53,0
115,1,5,57,0,224,0
116,0,4,54,2,704,0
117,1,9,45,22,1440,0
118,1,2,39,116,2741,0
119,0,2,60,239,4694,0
120,1,6,51,435,6282,0
121,0,2,51,745,7397,0
122,1,7,33,1154,8748,0
123,0,3,72,1469,9110,0
124,1,4,54,1369,8077,0
125,0,3,45,1411,6853,0
126,2,8,54,1167,5570,0
127,0,3,33,769,4344,0
128,0,6,42,546,3244,0
129,2,5,36,410,2688,0
130,0,2,48,323,2183,0
131,1,5,57,295,2117,0
132,2,7,33,227,1964,0
133,0,1,27,247,2013,0
134,0,2,57,267,2148,0
135,2,8,27,261,2027,0
136,0,2,30,234,1952,0
137,0,5,36,149,1642,0
138,2,3,45,157,1679,0
139,0,6,42,142,1678,0
140,1,7,36,166,1521,0
141,0,5,36,120,1360,0
142,0,2,33,131,1452,0
143,1,2,33,105,1278,0
144,0,3,21,154,1280,0
145,0,1,30,189,1378,0
146,1,4,45,133,1160,0
147,1,4,21,182,1303,0
148,1,3,24,133,1138,0
149,0,5,12,172,1226,0
150,1,6,27,96,1127,0
151,1,4,42,106,1002,0
152,1,2,33,88,955,0
153,2,3,45,98,1111,0
154,0,1,36,78,939,0
155,0,4,18,91,989,0
156,0,3,18,91,1072,0
157,0,2,18,103,1048,0
158,2,3,18,107,922,0
159,1,4,21,63,756,0
160,0,2,27,53,727,0
161,1,2,36,24,720,0
162,0,2,18,70,732,0
163,0,4,12,115,759,0
164,0,0,30,116,795,0
165,0,2,12,109,852,0
166,0,0,21,63,635,0
167,0,3,9,69,829,0
168,0,3,36,35,689,0
