access,reuse distance for all0,reuse distance for all1
1,614073,182
2,39362,104
3,4183,35
4,3275,10
5,1294,2
6,484,2
7,515,1
8,359,0
9,290,1
10,217,1
11,212,0
12,201,0
13,151,0
14,137,0
15,133,1
16,105,1
17,108,1
18,82,0
19,132,1
20,198,0
21,311,1
22,412,1
23,562,0
24,782,1
25,764,0
26,796,1
27,657,26407
28,536,93761
29,402,101215
30,334,83178
31,282,60751
32,176,32826
33,114,17740
34,71,11248
35,66,8794
36,67,7377
37,62,6122
38,50,5446
39,42,4994
40,34,4844
41,42,4626
42,27,4151
43,31,4016
44,40,3688
45,44,3440
46,60,3711
47,74,3191
48,68,2962
49,72,2933
50,69,2586
51,67,2645
52,71,2720
53,39,2507
54,76,2075
55,72,2070
56,70,2329
57,64,2378
58,53,2336
59,71,2254
60,94,2036
61,90,2108
62,98,1904
63,101,1779
64,110,2092
65,92,1997
66,79,1695
67,85,1790
68,78,1865
69,93,1428
70,77,1551
71,81,1391
72,71,1475
73,52,1443
74,43,1357
75,41,1262
76,43,1560
77,25,1321
78,29,1085
79,37,1125
80,26,1440
81,15,1294
82,27,1194
83,30,1047
84,22,1012
85,23,1121
86,16,1173
87,21,1212
88,25,1040
89,16,914
90,19,1016
91,16,1001
92,9,1042
93,25,864
94,11,995
95,11,922
96,9,761
97,17,791
98,11,733
99,12,1040
100,15,1023
101,10,988
102,9,750
103,12,1009
104,10,896
105,22,996
106,10,749
107,10,677
108,9,654
109,5,793
110,9,709
111,6,713
112,11,623
113,8,677
114,11,618
115,6,681
116,7,1005
117,6,844
118,6,762
119,2,731
120,5,659
121,5,575
122,6,511
123,5,580
124,2,712
125,8,750
126,7,625
127,9,657
128,10,493
129,5,587
130,5,481
131,5,517
132,10,539
133,7,694
134,6,648
135,5,614
136,2,498
137,8,490
138,3,498
139,4,471
140,7,541
141,4,441
142,5,403
143,4,445
144,7,436
145,2,656
146,5,498
147,3,503
148,7,539
149,0,417
150,1,444
151,5,515
152,2,561
153,9,520
154,9,488
155,2,408
156,4,402
157,5,371
158,3,394
159,6,284
160,5,285
161,2,350
162,5,287
163,2,383
164,2,437
165,3,350
166,4,308
167,1,340
168,0,278
169,4,292
170,5,255
171,6,288
172,2,248
173,2,289
174,4,289
175,3,344
176,2,204
177,2,225
178,2,267
179,1,273
180,2,255
181,0,287
182,4,273
183,3,193
184,3,267
185,4,296
186,1,168
187,2,271
188,2,203
189,1,187
190,3,187
191,4,239
192,4,190
193,2,255
194,1,266
195,0,218
196,3,227
197,1,190
198,0,141
199,3,149
200,1,180
201,1,205
202,0,221
203,0,201
204,2,189
205,2,170
206,2,197
207,0,123
208,2,151
209,6,172
210,6,137
211,1,171
212,3,172
213,0,246
214,1,191
215,4,98
216,2,128
217,2,135
218,3,138
219,3,147
220,2,328
221,0,200
222,1,122
223,1,171
224,1,201
225,1,83
226,1,124
227,0,96
228,1,118
229,3,215
230,0,196
231,2,105
232,3,108
233,2,125
234,1,118
235,1,173
236,2,92
237,2,76
238,0,183
239,1,203
240,1,117
241,2,157
242,0,115
243,2,151
244,2,139
245,2,191
246,1,127
247,0,97
248,1,94
249,1,75
250,0,92
251,3,79
252,0,55
253,2,71
254,2,57
255,1,34
256,1,55
257,3,60
258,2,82
259,1,76
260,2,53
261,0,63
262,0,41
263,3,43
264,1,39
265,2,73
266,2,85
267,1,63
268,4,79
269,3,65
270,3,75
