access,reuse distance for all0,reuse distance for all1,reuse distance for all2
1,601008,72,8413
2,45608,132,556
3,6812,83,72
4,3706,36,21
5,1200,4,10
6,689,4,7
7,575,2,1
8,400,2,1
9,307,1,0
10,283,0,0
11,200,1,0
12,219,0,0
13,150,0,0
14,142,0,1
15,136,0,0
16,121,0,1
17,99,2,0
18,111,1,1
19,89,0,0
20,85,0,1
21,85,0,1
22,74,2,2
23,75,0,0
24,55,1,0
25,59,0,0
26,50,0,0
27,46,0,1
28,54,0,0
29,52,1,0
30,41,0,0
31,65,0,0
32,96,0,1
33,104,1,1
34,137,0,0
35,195,2,0
36,236,1,0
37,328,0,0
38,409,1,0
39,552,0,0
40,622,68,0
41,543,2209,0
42,506,20254,0
43,526,36924,0
44,532,43460,0
45,447,41887,1
46,306,35707,0
47,198,26287,0
48,133,17400,0
49,86,11787,0
50,36,10389,0
51,49,12646,1
52,67,14694,0
53,40,15204,0
54,33,17320,0
55,44,19507,0
56,31,20613,0
57,27,18488,0
58,28,15881,0
59,23,12295,0
60,31,10340,0
61,30,7301,0
62,40,5579,0
63,39,4530,0
64,45,3925,0
65,38,3492,0
66,42,3171,0
67,41,3081,0
68,56,2831,0
69,42,2777,0
70,51,2748,0
71,52,2545,0
72,40,2529,0
73,48,2452,0
74,24,2320,0
75,17,2146,0
76,33,2078,0
77,39,2094,0
78,38,2088,0
79,34,2062,0
80,48,1828,0
81,44,1780,0
82,53,1826,0
83,42,1694,0
84,48,1719,0
85,57,1754,0
86,45,1685,0
87,46,1606,0
88,65,1507,0
89,59,1390,0
90,86,1521,0
91,89,1397,0
92,83,1364,0
93,77,1318,0
94,63,1344,0
95,56,1320,0
96,74,1402,0
97,81,1340,0
98,60,1286,0
99,68,1003,0
100,68,1042,0
101,54,1066,0
102,52,1037,0
103,53,1125,0
104,30,1116,0
105,29,984,0
106,28,1016,0
107,18,891,0
108,20,807,0
109,20,880,0
110,20,882,0
111,22,920,0
112,9,896,0
113,18,897,0
114,13,927,0
115,11,931,0
116,19,822,0
117,20,885,0
118,11,952,0
119,12,824,0
120,8,824,0
121,12,914,0
122,4,815,0
123,9,760,0
124,12,738,0
125,10,720,0
126,9,769,0
127,7,727,0
128,10,783,0
129,13,690,0
130,10,687,0
131,11,639,0
132,5,663,0
133,10,625,0
134,11,603,0
135,10,633,0
136,7,602,0
137,14,617,0
138,9,632,0
139,6,590,0
140,8,648,0
141,6,604,0
142,5,651,0
143,8,640,0
144,4,474,0
145,6,538,0
146,5,581,0
147,7,620,0
148,4,642,0
149,7,649,0
150,8,655,0
151,3,645,0
152,6,611,0
153,5,552,0
154,7,514,0
155,2,515,0
156,5,414,0
157,6,473,0
158,5,447,0
159,8,518,0
160,7,441,0
161,4,373,0
162,5,433,0
163,1,375,0
164,3,409,0
165,4,476,0
166,2,411,0
167,5,465,0
168,7,457,0
169,2,568,0
170,6,615,0
171,8,489,0
172,1,436,0
173,5,429,0
174,5,407,0
175,4,365,0
176,3,389,0
177,1,381,0
178,4,378,0
179,6,348,0
180,5,315,0
181,4,321,0
182,5,335,0
183,3,314,0
184,4,330,0
185,4,376,0
186,3,326,0
187,6,321,0
188,5,360,0
189,2,374,0
190,5,361,0
191,5,292,0
192,8,282,0
193,2,237,0
194,3,231,0
195,1,242,0
196,1,321,0
197,3,257,0
198,9,234,0
199,1,282,0
200,3,255,0
201,5,252,0
202,2,197,0
203,2,210,0
204,0,216,0
205,3,227,0
206,0,187,0
207,2,223,0
208,5,275,0
209,2,291,0
210,1,230,0
211,3,211,0
212,1,201,0
213,2,196,0
214,2,194,0
215,0,190,0
216,4,190,0
217,1,202,0
