access,reuse distance for all0,reuse distance for all1,reuse distance for all2
218,2,214,0
219,2,236,0
220,4,213,0
221,2,183,0
222,1,165,0
223,2,183,0
224,2,180,0
225,1,182,0
226,1,217,0
227,2,257,0
228,6,192,0
229,0,192,0
230,3,153,0
231,0,138,0
232,1,126,0
233,4,179,0
234,0,222,0
235,1,205,0
236,5,167,0
237,2,201,0
238,3,186,0
239,1,181,0
240,1,136,0
241,0,122,0
242,0,114,0
243,0,133,0
244,3,197,0
245,0,208,11
246,1,153,25
247,1,188,55
248,1,134,104
249,2,128,211
250,0,134,248
251,4,153,353
252,3,129,481
253,1,142,595
254,0,157,646
255,1,183,691
256,4,171,737
257,0,140,811
258,0,156,828
259,0,137,831
260,1,152,912
261,3,119,994
262,0,131,1010
263,3,164,1185
264,3,97,1196
265,1,106,1282
266,1,88,1318
267,1,93,1270
268,2,93,1216
269,0,75,1148
270,3,83,1126
271,0,95,1065
272,1,105,1032
273,0,118,1013
274,1,87,969
275,0,83,1030
276,2,87,1058
277,1,57,1103
278,1,49,1126
279,0,73,1215
280,2,71,1231
281,1,88,1227
282,0,77,1243
283,2,83,1276
284,2,59,1337
285,0,72,1417
286,0,62,1458
287,0,65,1428
288,0,74,1462
289,2,62,1439
290,0,90,1504
291,2,105,1503
292,3,117,1513
293,8,89,1572
294,2,76,1543
295,2,56,1625
296,3,91,1608
297,1,88,1636
298,3,80,1615
299,6,79,1647
300,4,70,1690
301,9,83,1632
302,1,58,1719
303,3,76,1708
304,2,72,1730
305,1,95,1695
306,0,85,1648
307,2,65,1623
308,1,79,1556
309,2,65,1571
310,1,51,1588
311,0,59,1536
312,4,106,1484
313,0,111,1478
314,0,66,1540
315,2,68,1499
316,2,77,1474
317,1,71,1410
318,0,97,1336
319,0,58,1337
320,1,74,1222
321,0,61,1152
322,0,57,1094
323,1,66,1131
324,0,75,1052
325,1,81,955
326,1,72,937
327,1,71,895
328,0,92,951
329,0,89,876
330,2,80,836
331,0,92,818
332,2,97,825
333,2,82,845
334,0,58,795
335,2,85,737
336,0,114,715
337,0,110,741
338,0,96,743
339,1,88,747
340,0,80,664
341,0,68,676
342,1,77,665
343,2,80,639
344,0,106,665
345,1,117,621
346,0,99,588
347,1,81,603
348,0,75,613
349,0,65,616
350,0,80,634
351,0,79,564
352,1,40,573
353,3,56,577
354,0,62,593
355,0,65,596
356,0,64,568
357,0,54,551
358,1,81,591
359,0,50,525
360,3,41,524
361,0,33,475
362,0,46,461
363,0,59,456
364,1,62,478
365,0,48,444
366,0,41,472
367,0,38,480
368,1,48,476
369,2,43,462
370,0,46,452
371,1,59,480
372,1,56,487
373,0,57,472
374,0,42,476
375,0,49,448
376,0,31,450
377,0,27,431
378,0,23,438
379,1,29,421
380,0,62,401
381,0,60,387
382,0,72,399
383,0,72,396
384,1,51,395
385,1,79,425
386,0,69,443
387,0,68,450
388,0,67,436
389,0,52,415
390,0,55,435
391,0,70,434
392,0,48,440
393,0,38,390
394,1,57,366
395,0,77,343
396,1,48,412
397,1,26,381
398,0,34,373
399,0,45,404
400,0,59,376
401,0,55,414
402,0,64,352
403,0,63,350
404,1,49,368
405,0,28,367
406,0,44,364
407,0,48,348
408,0,67,331
409,0,73,330
410,2,53,337
411,1,57,301
412,0,55,328
413,0,54,313
414,1,63,312
415,0,95,281
416,0,69,296
417,0,57,300
418,0,42,283
419,1,41,279
420,0,42,275
421,1,49,272
422,0,36,272
423,0,51,254
424,4,73,299
425,0,104,266
426,0,89,247
427,0,91,250
428,0,62,256
429,0,52,250
430,0,56,232
431,0,58,245
432,0,63,263
433,0,44,244
434,0,53,256
435,1,46,229
436,2,33,245
437,0,31,221
438,0,31,259
439,0,29,229
440,0,19,234
441,2,26,238
442,0,37,273
443,2,36,257
444,1,42,250
445,3,30,271
446,0,34,271
447,1,38,219
448,1,21,254
449,1,25,257
450,0,40,260
451,1,35,281
452,0,37,295
453,0,40,273
454,0,44,296
455,0,36,258
456,0,28,284
457,0,38,251
458,0,28,248
459,1,42,243
460,0,45,240
461,0,33,256
462,0,18,230
463,0,26,235
464,0,32,225
465,0,32,231
466,0,45,228
467,0,43,218
468,0,26,215
469,0,24,217
470,1,20,207
471,0,33,193
472,0,18,220
473,1,19,222
474,0,37,261
475,0,26,249
476,0,19,225
477,0,21,223
478,1,55,244
479,0,71,228
480,1,47,220
481,0,22,221
482,1,19,224
483,0,16,258
484,1,17,253
485,0,20,235
486,0,13,249
487,0,30,223
488,1,27,197
489,0,31,234
490,1,28,214
491,1,35,227
492,1,37,197
493,0,27,207
494,0,14,189
495,0,2,196
496,0,10,186
497,0,6,196
498,0,14,191
499,0,13,184
500,0,16,207
501,0,31,225
502,0,24,213
503,0,18,219
504,0,19,212
505,0,12,180
506,0,29,172
507,0,42,190
508,0,27,190
509,0,31,186
510,0,43,200
511,0,54,196
512,0,33,214
513,0,47,195
514,0,38,215
515,0,19,208
516,0,28,195
517,0,26,192
518,0,41,205
519,1,18,220
520,0,33,213
521,0,30,178
522,1,23,191
523,0,18,200
524,0,16,203
525,1,25,198
526,1,21,177
527,0,16,205
528,1,23,210
529,0,19,192
530,0,46,211
531,0,35,212
532,0,17,211
533,0,10,221
534,0,20,182
535,0,18,184
536,0,11,186
537,0,24,194
538,0,45,173
539,0,50,177
540,0,51,161
541,0,55,171
542,0,43,149
543,0,33,146
544,0,21,172
545,0,17,158
546,0,23,166
547,0,20,131
548,0,21,160
549,0,14,136
550,0,28,154
551,0,16,114
552,0,40,139
553,0,73,144
554,0,57,122
555,0,32,132
556,0,33,108
557,0,63,117
558,1,51,116
559,0,56,112
560,0,42,127
561,1,17,117
562,0,18,110
563,0,36,129
564,0,31,138
565,0,26,154
566,1,42,152
567,0,27,157
568,0,19,147
569,0,34,154
570,0,40,160
571,0,58,144
572,1,52,165
573,0,56,154
574,0,27,156
575,0,23,135
576,0,25,142
577,0,19,123
578,0,43,135
579,0,47,142
580,0,31,156
581,0,26,142
582,0,23,149
583,0,35,134
584,0,28,109
585,1,14,119
586,0,9,120
587,0,13,107
588,0,15,122
589,0,13,114
590,0,11,120
591,0,8,122
592,0,11,121
593,0,8,116
594,0,10,130
595,0,7,116
596,0,12,131
597,0,19,127
598,0,19,130
599,0,10,131
600,0,3,130
601,0,13,128
602,1,13,135
603,0,16,141
604,0,14,123
605,0,10,129
606,1,16,122
607,0,20,119
608,0,16,124
609,0,10,121
610,0,5,122
611,0,12,123
612,0,20,142
613,0,17,139
614,1,13,141
615,0,30,139
616,0,58,134
617,2,54,140
618,1,24,139
619,4,17,139
620,1,18,141
621,4,21,140
622,3,15,128
623,2,9,116
624,2,4,112
625,1,3,127
626,3,8,119
627,0,11,117
628,0,3,110
629,0,4,110
630,0,1,126
631,1,7,124
632,2,4,133
633,1,6,133
634,0,5,116
635,0,3,123
636,0,7,110
637,0,3,104
638,0,4,121
639,0,3,118
640,0,8,101
641,0,9,108
642,0,3,113
643,0,3,116
644,0,1,114
645,0,3,106
646,0,10,107
647,0,16,116
648,0,8,109
649,0,6,112
650,0,8,99
651,0,4,111
652,2,8,130
653,0,8,128
654,0,9,129
655,0,3,119
656,0,6,105
657,0,6,104
658,1,12,112
659,0,7,129
660,0,9,123
661,1,4,116
662,0,2,99
663,0,6,98
664,0,14,90
665,0,12,114
666,0,8,112
667,0,13,99
668,0,20,112
669,0,9,110
670,0,6,110
671,1,15,129
672,0,22,109
673,0,6,125
674,1,7,94
675,0,15,108
676,1,7,101
677,0,0,95
678,0,5,99
679,0,6,103
680,0,0,105
681,0,9,101
682,0,15,84
683,0,12,85
684,1,4,88
685,0,6,109
686,1,2,103
687,1,5,98
688,0,8,93
689,0,3,93
690,0,14,87
691,0,26,88
692,0,7,83
693,0,6,80
694,0,7,98
695,0,8,85
696,0,4,83
697,0,2,79
698,0,7,78
699,0,4,90
700,0,4,85
701,0,1,99
702,0,4,84
703,0,1,76
704,0,4,81
705,0,2,81
706,0,3,74
707,0,0,68
708,0,4,99
709,0,7,78
710,0,2,79
711,0,4,66
712,0,5,64
713,0,1,77
714,0,3,91
715,0,2,58
716,0,1,77
717,0,2,76
718,1,11,55
719,0,9,69
720,1,3,79
721,0,8,69
722,0,4,83
723,0,6,84
724,0,3,74
725,0,5,80
726,0,2,66
727,0,8,72
728,0,1,77
729,0,4,100
730,0,1,101
731,0,15,91
732,0,10,83
733,0,7,89
734,1,2,93
735,0,2,89
736,0,0,77
737,0,6,75
738,0,10,68
739,0,14,57
740,0,14,79
741,0,9,74
742,0,6,76
743,0,7,42
744,0,8,70
745,0,5,78
746,0,3,74
747,0,2,91
748,0,8,75
749,1,15,75
750,0,4,62
751,0,2,79
752,0,2,84
753,0,1,90
754,0,2,83
755,0,2,87
756,0,2,80
757,0,4,55
758,0,3,63
759,0,0,84
760,1,2,73
761,0,4,61
762,0,2,85
763,0,1,73
764,0,1,66
765,0,3,76
766,0,5,64
767,0,0,57
768,0,2,45
769,0,4,59
770,0,8,57
771,1,15,63
772,0,6,70
773,0,4,71
774,0,19,77
775,0,7,69
776,0,0,56
777,1,1,61
778,0,3,61
779,0,0,60
780,0,0,71
781,0,1,65
782,0,0,60
783,0,2,54
784,0,3,62
785,0,1,64
786,0,0,55
787,0,1,44
788,0,0,57
789,0,2,58
790,0,5,39
791,0,6,45
792,0,3,42
793,0,5,39
794,0,6,47
795,0,2,50
796,0,2,44
797,0,1,41
798,0,4,62
799,0,7,58
800,0,7,48
801,0,3,52
802,0,1,64
803,0,3,67
804,0,3,62
805,0,2,47
806,0,4,44
807,0,2,50
808,0,6,48
809,0,17,36
810,0,7,41
811,0,2,41
812,0,11,41
813,0,13,44
814,0,14,47
815,0,1,55
816,0,1,64
817,0,7,54
818,0,5,58
819,0,11,62
820,0,7,70
821,0,4,67
822,0,11,66
823,0,14,57
824,0,11,64
825,0,13,51
826,0,13,56
827,0,1,66
828,0,1,53
829,0,2,51
830,0,0,50
831,0,0,40
832,0,1,39
833,0,1,39
834,0,2,51
835,0,0,44
836,0,2,55
837,0,10,67
838,0,8,60
839,0,14,46
840,1,3,43
841,0,1,30
842,0,1,25
843,0,1,33
844,0,2,39
845,0,1,43
846,0,2,36
847,0,4,44
848,0,8,46
849,0,9,45
850,0,3,29
851,0,2,35
852,0,3,41
853,0,2,40
854,0,0,28
855,0,0,35
856,0,1,39
857,0,1,31
858,0,0,39
859,0,1,38
860,0,3,35
861,0,2,37
862,0,1,40
863,0,0,40
864,0,5,37
865,0,8,40
866,0,1,37
867,0,2,41
868,0,0,44
869,0,0,47
870,0,0,49
871,0,0,49
872,0,0,40
873,0,0,45
874,0,0,47
875,0,0,41
876,0,0,26
877,0,0,36
878,0,0,24
879,0,0,33
880,0,1,29
881,0,2,33
882,0,1,31
883,0,0,37
884,0,0,38
885,0,1,31
886,0,1,32
887,0,6,36
888,0,10,42
889,0,8,28
890,1,2,27
891,0,1,25
892,0,0,27
893,0,1,29
894,0,1,28
895,0,1,28
896,0,1,32
897,0,0,36
898,0,0,27
899,0,1,16
900,0,1,22
901,0,0,28
902,0,0,33
903,0,0,28
904,1,1,24
905,0,0,30
906,0,1,31
907,0,0,35
908,0,0,22
909,1,1,29
910,0,0,23
911,0,0,28
912,0,1,30
913,0,0,33
914,0,0,27
915,0,1,28
916,1,0,18
917,0,0,21
918,0,0,28
919,0,0,27
920,0,0,26
921,0,2,29
922,0,0,28
923,0,0,15
924,0,1,19
925,0,1,22
926,0,0,21
927,0,0,20
928,0,2,14
929,0,0,22
930,0,0,27
931,0,0,15
932,0,0,20
933,0,0,19
934,0,1,20
935,0,0,21
936,0,2,19
937,0,3,24
938,0,1,16
939,0,5,14
940,0,2,21
941,0,8,20
942,0,2,18
943,0,2,21
944,0,0,29
945,0,0,29
946,0,0,24
947,0,2,26
948,0,2,29
949,0,0,34
950,0,0,31
951,0,3,23
952,0,1,26
953,0,0,20
954,0,0,22
955,0,2,15
956,1,0,20
957,0,1,32
958,0,0,23
959,0,2,29
960,0,0,32
961,0,2,36
962,0,1,37
963,0,1,39
964,0,0,37
965,0,1,36
966,0,0,47
967,0,2,50
968,0,0,41
969,0,1,38
970,0,0,41
971,0,1,32
972,0,2,34
973,0,2,35
974,0,1,35
975,0,0,28
976,0,0,27
977,0,0,34
978,0,0,35
979,0,1,45
980,0,1,36
981,0,1,30
982,0,0,39
983,0,1,30
984,1,1,38
985,0,0,48
986,0,0,33
987,0,2,35
988,0,0,45
989,0,1,42
990,0,1,46
991,0,0,32
992,0,1,29
993,0,1,30
994,0,1,35
995,0,0,37
996,0,1,32
997,0,1,36
998,0,0,38
999,0,2,42
1000,0,1,35
1001,0,0,26
1002,0,0,34
1003,0,0,32
1004,0,1,29
1005,0,3,32
1006,0,1,30
1007,0,0,29
1008,0,0,15
1009,0,1,44
1010,0,0,37
1011,0,0,20
1012,0,1,24
1013,0,0,23
1014,0,0,26
1015,0,2,26
1016,0,1,26
1017,0,1,39
1018,0,1,28
1019,0,1,30
1020,0,1,46
1021,0,1,45
1022,0,1,36
1023,0,1,34
1024,9,218,8242
