access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2716,622522,0,156,8837,0
2,527,33011,0,101,399,0
3,97,3253,0,18,21,0
4,41,3310,0,3,4,0
5,23,871,0,2,2,0
6,16,396,0,1,1,0
7,9,528,0,1,1,0
8,9,328,0,0,0,0
9,9,280,0,0,0,0
10,8,244,0,0,0,0
11,3,193,0,0,0,0
12,6,188,0,0,0,0
13,6,149,0,0,0,0
14,6,155,0,1,1,0
15,5,160,0,1,1,0
16,7,151,0,1,1,0
17,4,273,0,0,0,0
18,12,442,0,1,1,0
19,59,714,0,1,1,0
20,80,963,0,1,2,0
21,95,996,0,0,0,0
22,109,914,0,0,0,0
23,87,758,0,0,0,0
24,76,509,0,2,2,0
25,62,339,0,0,0,0
26,24,247,0,1,1,0
27,13,219,0,0,0,0
28,16,169,0,0,0,0
29,15,158,0,0,0,0
30,8,154,0,0,0,0
31,8,158,0,0,0,0
32,7,158,0,0,0,0
33,5,169,0,0,0,0
34,5,187,0,0,0,0
35,3,208,0,0,0,0
36,5,176,0,0,0,0
37,8,160,0,0,0,0
38,7,151,0,0,0,0
39,5,133,0,0,0,0
40,7,105,0,1,1,0
41,9,90,0,0,0,0
42,8,58,0,0,0,0
43,10,70,0,0,0,0
44,6,60,0,1,1,0
45,12,55,0,0,0,0
46,6,49,0,0,0,0
47,6,51,0,0,0,0
48,5,45,0,0,0,0
49,4,34,48,0,0,0
50,7,39,186,0,0,0
51,1,35,138,0,0,0
52,2,28,162,0,0,0
53,4,42,102,0,0,0
54,4,27,168,0,0,0
55,2,25,159,0,0,0
56,4,40,150,0,0,0
57,2,32,135,0,0,0
58,2,20,138,0,0,0
59,3,37,114,0,0,0
60,4,31,102,0,0,0
61,3,30,99,0,0,0
62,3,23,102,0,0,0
63,2,18,87,0,0,0
64,6,22,108,0,0,0
65,2,20,96,0,0,0
66,2,12,90,0,0,0
67,6,29,66,0,0,0
68,4,16,75,0,0,0
69,5,15,87,0,0,0
70,4,24,81,0,0,0
71,2,23,87,0,0,0
72,2,20,60,0,0,0
