access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2381,622037,0,156,8792,0
2,386,33283,0,101,397,0
3,63,3367,0,18,21,0
4,38,3281,0,3,4,0
5,22,891,0,2,2,0
6,10,384,0,1,1,0
7,7,533,0,1,1,0
8,7,326,0,0,0,0
9,7,292,0,0,0,0
10,3,242,0,0,0,0
11,3,192,0,0,0,0
12,4,180,0,0,0,0
13,4,136,0,0,0,0
14,6,132,0,1,1,0
15,6,145,0,1,1,0
16,6,152,0,1,1,0
17,3,272,0,0,0,0
18,4,410,0,1,1,0
19,14,611,0,1,1,0
20,31,857,0,1,2,0
21,48,926,0,0,0,0
22,87,925,0,0,0,0
23,76,846,0,0,0,0
24,68,571,0,2,2,0
25,55,392,0,0,0,0
26,29,262,0,1,1,0
27,20,247,0,0,0,0
28,12,210,0,0,0,0
29,11,174,0,0,0,0
30,10,165,0,0,0,0
31,6,170,0,0,0,0
32,6,160,0,0,0,0
33,4,165,0,0,0,0
34,6,179,0,0,0,0
35,2,198,0,0,0,0
36,2,183,0,0,0,0
37,3,157,0,0,0,0
38,2,167,0,0,0,0
39,2,128,0,0,0,0
40,5,109,0,1,1,0
41,9,94,0,0,0,0
42,5,66,0,0,0,0
43,7,76,0,0,0,0
44,4,63,0,1,1,0
45,11,58,0,0,0,0
46,7,51,0,0,0,0
47,4,45,0,0,0,0
48,1,45,0,0,0,0
49,1,33,279,0,0,0
50,5,40,1773,0,0,0
51,0,40,1695,0,0,0
52,3,27,1800,0,0,0
53,4,38,1791,0,0,0
54,2,23,1476,0,0,0
55,1,29,1368,0,0,0
56,2,39,1359,0,0,0
57,2,34,1233,0,0,0
58,1,17,1089,0,0,0
59,2,43,972,0,0,0
60,2,34,870,0,0,0
61,0,29,882,0,0,0
62,2,25,828,0,0,0
63,1,20,744,0,0,0
64,5,18,789,0,0,0
65,2,15,744,0,0,0
66,1,15,621,0,0,0
67,2,24,513,0,0,0
68,2,21,507,0,0,0
69,2,14,510,0,0,0
70,2,22,474,0,0,0
71,1,26,435,0,0,0
72,2,19,468,0,0,0
73,2,15,504,0,0,0
74,0,20,489,0,0,0
75,1,21,444,0,0,0
76,0,17,420,0,0,0
77,1,18,303,0,0,0
78,1,20,342,0,0,0
79,0,14,366,0,0,0
80,1,20,390,0,0,0
81,1,13,384,0,0,0
82,0,9,369,0,0,0
83,0,12,375,0,0,0
84,0,15,288,0,0,0
85,1,9,393,0,0,0
86,2,20,318,0,0,0
87,0,12,327,0,0,0
88,1,9,345,0,0,0
89,1,14,252,0,0,0
90,0,6,255,0,0,0
91,1,4,282,0,0,0
