access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2624,622288,0,156,8828,0
2,419,32973,0,101,397,0
3,94,3381,0,18,21,0
4,47,3291,0,3,4,0
5,17,857,0,2,2,0
6,15,398,0,1,1,0
7,8,519,0,1,1,0
8,8,337,0,0,0,0
9,8,294,0,0,0,0
10,6,243,0,0,0,0
11,3,198,0,0,0,0
12,5,167,0,0,0,0
13,6,143,0,0,0,0
14,7,143,0,1,1,0
15,4,157,0,1,1,0
16,6,156,0,1,1,0
17,3,260,0,0,0,0
18,7,419,0,1,1,0
19,26,643,0,1,1,0
20,55,888,0,1,2,0
21,88,974,0,0,0,0
22,105,928,0,0,0,0
23,94,824,0,0,0,0
24,77,541,0,2,2,0
25,52,384,0,0,0,0
26,30,273,0,1,1,0
27,19,234,0,0,0,0
28,14,185,0,0,0,0
29,16,167,0,0,0,0
30,11,143,0,0,0,0
31,4,141,0,0,0,0
32,6,170,0,0,0,0
33,6,168,0,0,0,0
34,4,189,0,0,0,0
35,4,205,0,0,0,0
36,4,183,0,0,0,0
37,5,160,0,0,0,0
38,5,160,0,0,0,0
39,6,137,0,0,0,0
40,3,106,0,1,1,0
41,12,85,0,0,0,0
42,5,72,0,0,0,0
43,8,57,0,0,0,0
44,8,62,0,1,1,0
45,13,65,0,0,0,0
46,6,48,0,0,0,0
47,5,45,0,0,0,0
48,6,42,0,0,0,0
49,3,39,186,0,0,0
50,6,42,948,0,0,0
51,1,35,870,0,0,0
52,2,27,888,0,0,0
53,4,42,804,0,0,0
54,2,26,798,0,0,0
55,4,28,774,0,0,0
56,3,45,654,0,0,0
57,1,18,660,0,0,0
58,2,24,615,0,0,0
59,4,43,516,0,0,0
60,4,32,549,0,0,0
61,3,26,492,0,0,0
62,3,27,507,0,0,0
63,1,16,459,0,0,0
64,5,24,459,0,0,0
65,3,17,423,0,0,0
66,1,13,354,0,0,0
67,5,31,294,0,0,0
68,3,13,282,0,0,0
69,2,13,273,0,0,0
70,2,23,249,0,0,0
71,3,32,291,0,0,0
72,2,14,327,0,0,0
73,1,11,294,0,0,0
74,0,29,276,0,0,0
75,2,14,273,0,0,0
76,1,19,237,0,0,0
77,1,20,216,0,0,0
78,2,15,240,0,0,0
79,1,15,261,0,0,0
80,2,23,249,0,0,0
81,0,8,264,0,0,0
82,0,8,249,0,0,0
83,1,17,234,0,0,0
84,0,9,273,0,0,0
85,3,15,252,0,0,0
86,2,16,222,0,0,0
87,0,9,219,0,0,0
88,1,12,231,0,0,0
89,1,14,168,0,0,0
90,1,5,186,0,0,0
91,1,6,159,0,0,0
92,2,12,183,0,0,0
93,0,7,189,0,0,0
94,4,18,195,0,0,0
95,0,4,153,0,0,0
96,0,10,138,0,0,0
97,1,13,126,0,0,0
98,0,10,123,0,0,0
99,2,6,120,0,0,0
100,0,2,156,0,0,0
101,0,9,129,0,0,0
102,2,10,201,0,0,0
103,1,9,132,0,0,0
104,3,18,126,0,0,0
105,2,13,159,0,0,0
106,0,6,102,0,0,0
107,1,4,150,0,0,0
108,1,4,99,0,0,0
109,0,1,126,0,0,0
110,0,3,105,0,0,0
111,0,7,102,0,0,0
112,2,15,93,0,0,0
113,2,6,132,0,4,0
114,1,7,138,0,76,0
115,1,4,159,0,297,0
116,0,4,132,2,812,0
117,0,6,78,25,1669,0
118,1,7,102,131,3072,0
119,0,3,81,296,5096,0
120,1,4,96,551,6655,0
121,0,2,105,913,7737,0
122,1,5,99,1381,8995,0
123,0,3,81,1759,9328,0
124,0,5,102,1711,8178,0
125,1,6,114,1677,6902,0
126,1,5,84,1406,5601,0
127,0,5,99,938,4390,0
128,0,3,78,662,3252,0
129,2,7,117,468,2722,0
130,0,1,84,412,2232,0
131,1,3,72,352,2163,0
132,2,9,93,292,2029,0
133,0,2,60,315,2076,0
134,0,0,90,338,2205,0
135,1,9,87,320,2043,0
136,0,3,84,297,2003,0
137,0,3,63,178,1665,0
138,0,2,60,198,1738,0
139,2,9,87,169,1706,0
140,0,5,84,203,1528,0
141,0,3,63,148,1380,0
142,0,6,87,161,1483,0
143,0,1,84,147,1319,0
144,1,2,81,179,1325,0
145,0,1,57,216,1348,0
146,1,7,45,175,1191,0
147,1,3,51,221,1313,0
148,0,1,69,166,1161,0
149,0,6,39,208,1249,0
150,0,6,42,123,1161,0
151,2,4,45,119,1033,0
152,0,3,45,106,975,0
153,3,3,63,119,1090,0
154,0,1,63,97,985,0
155,0,4,54,113,992,0
156,0,3,63,104,1064,0
157,0,3,42,136,1089,0
158,1,2,54,123,921,0
159,0,1,57,82,748,0
160,2,5,36,70,744,0
161,1,3,33,33,725,0
162,0,3,48,90,743,0
163,0,1,42,136,783,0
164,0,4,42,145,825,0
165,0,0,66,137,867,0
166,0,0,36,70,648,0
167,0,0,48,88,804,0
168,0,4,33,50,700,0
169,1,5,42,95,645,0
170,0,0,51,98,762,0
171,0,0,42,68,658,0
172,0,2,36,126,851,0
173,0,4,18,103,809,0
174,0,2,42,82,856,0
175,0,1,39,113,882,0
176,0,4,24,101,795,0
177,0,1,39,85,726,0
178,0,1,60,61,658,0
179,0,1,33,116,787,0
180,0,1,24,83,769,0
181,0,0,6,91,585,0
182,0,1,60,67,711,0
183,0,2,42,99,645,0
184,0,1,30,46,520,0
185,0,0,48,86,689,0
186,0,0,21,48,637,0
187,0,1,42,90,620,0
188,1,3,21,121,698,0
189,0,2,57,70,586,0
190,0,1,24,81,602,0
191,0,1,48,68,489,0
192,0,0,39,44,423,0
193,0,2,36,81,560,0
194,1,2,33,53,516,0
195,0,0,15,24,487,0
196,0,3,39,61,588,0
197,1,3,33,41,543,0
198,1,2,24,61,484,0
199,0,1,36,78,585,0
200,2,2,21,92,554,0
201,0,2,21,77,471,0
202,0,1,24,54,390,0
203,0,2,27,25,385,0
204,1,2,27,33,521,0
205,0,1,24,92,537,0
206,0,1,42,59,600,0
207,0,0,24,29,624,0
208,0,2,48,26,522,0
209,1,4,39,60,518,0
210,0,6,39,24,551,0
211,0,2,39,71,545,0
212,0,3,21,99,587,0
213,0,1,42,86,615,0
214,0,5,24,47,473,0
215,0,2,12,49,570,0
216,1,2,27,35,471,0
217,0,2,30,65,525,0
218,0,5,24,63,517,0
219,0,1,30,39,557,0
220,0,0,15,75,539,0
221,0,1,36,49,402,0
222,0,0,24,44,396,0
223,0,1,18,36,356,0
224,0,1,15,67,430,0
225,0,3,18,42,531,0
226,0,2,24,52,422,0
227,0,0,12,66,546,0
228,0,1,21,70,632,0
229,0,2,12,51,502,0
230,0,0,33,65,425,0
231,0,2,24,75,481,0
232,0,0,24,32,403,0
233,0,0,18,57,366,0
234,1,3,42,37,299,0
235,0,1,21,67,321,0
236,0,1,12,28,399,0
237,0,3,21,59,398,0
238,0,4,18,73,390,0
239,0,0,24,80,474,0
240,0,4,27,59,421,0
241,0,2,18,67,373,0
242,0,1,21,70,420,0
243,0,4,21,78,403,0
244,0,4,12,67,478,0
245,0,4,9,50,420,0
246,1,4,18,28,326,0
247,1,5,9,31,281,0
248,1,2,33,80,289,0
249,0,2,15,59,355,0
250,0,1,21,26,270,0
251,0,1,12,38,280,0
252,0,0,27,44,357,0
253,0,2,12,108,401,0
254,0,2,15,119,361,0
255,0,0,12,93,489,0
256,0,1,12,40,368,0
257,0,0,18,44,324,0
258,0,0,3,60,432,0
259,0,1,12,62,337,0
260,0,1,33,58,383,0
261,1,1,21,65,342,0
262,0,0,9,67,227,0
263,0,0,12,27,229,0
264,0,0,15,56,283,0
265,0,0,9,42,306,0
266,0,1,3,35,338,0
267,0,0,18,56,311,0
