access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
1,2666,622202,0,156,8830,0
2,454,33171,0,101,395,0
3,95,3361,0,18,21,0
4,53,3221,0,3,4,0
5,15,922,0,2,2,0
6,14,395,0,1,1,0
7,9,515,0,1,1,0
8,8,331,0,0,0,0
9,9,297,0,0,0,0
10,6,238,0,0,0,0
11,4,196,0,0,0,0
12,4,177,0,0,0,0
13,6,136,0,0,0,0
14,7,149,0,1,1,0
15,4,160,0,1,1,0
16,8,154,0,1,1,0
17,2,254,0,0,0,0
18,7,428,0,1,1,0
19,30,650,0,1,1,0
20,68,922,0,1,2,0
21,93,965,0,0,0,0
22,105,940,0,0,0,0
23,93,805,0,0,0,0
24,76,535,0,2,2,0
25,54,384,0,0,0,0
26,33,270,0,1,1,0
27,16,229,0,0,0,0
28,13,169,0,0,0,0
29,18,173,0,0,0,0
30,8,139,0,0,0,0
31,5,154,0,0,0,0
32,6,171,0,0,0,0
33,4,163,0,0,0,0
34,6,184,0,0,0,0
35,3,205,0,0,0,0
36,4,164,0,0,0,0
37,5,168,0,0,0,0
38,6,151,0,0,0,0
39,5,137,0,0,0,0
40,3,106,0,1,1,0
41,13,94,0,0,0,0
42,5,60,0,0,0,0
43,10,71,0,0,0,0
44,7,66,0,1,1,0
45,13,55,0,0,0,0
46,6,44,0,0,0,0
47,5,48,0,0,0,0
48,8,50,0,0,0,0
49,1,29,168,0,0,0
50,7,43,741,0,0,0
51,3,37,639,0,0,0
52,1,22,633,0,0,0
53,4,38,522,0,0,0
54,2,28,546,0,0,0
55,5,35,540,0,0,0
56,2,34,516,0,0,0
57,1,30,552,0,0,0
58,2,27,441,0,0,0
59,5,44,408,0,0,0
60,4,23,387,0,0,0
61,3,27,342,0,0,0
62,3,25,315,0,0,0
63,1,16,324,0,0,0
64,5,25,396,0,0,0
65,3,17,297,0,0,0
66,1,16,300,0,0,0
67,7,25,213,0,0,0
68,3,15,189,0,0,0
69,2,12,210,0,0,0
70,4,21,234,0,0,0
71,2,27,210,0,0,0
72,2,21,222,0,0,0
73,1,15,249,0,0,0
74,0,21,213,0,0,0
75,2,18,210,0,0,0
76,2,24,219,0,0,0
77,1,13,216,0,0,0
78,3,21,267,0,0,0
79,1,10,210,0,0,0
80,2,22,225,0,0,0
81,0,12,213,0,0,0
82,0,10,237,0,0,0
83,1,15,219,0,0,0
84,1,14,183,0,0,0
85,3,11,192,0,0,0
86,3,16,210,0,0,0
87,0,11,201,0,0,0
88,1,11,213,0,0,0
89,2,14,168,0,0,0
90,1,7,123,0,0,0
91,1,5,129,0,0,0
92,2,10,141,0,0,0
93,0,9,168,0,0,0
94,3,12,141,0,0,0
95,1,10,129,0,0,0
96,0,9,147,0,0,0
97,1,14,117,0,0,0
98,0,7,96,0,0,0
99,2,6,132,0,0,0
100,1,3,120,0,0,0
101,0,10,150,0,0,0
102,3,8,108,0,0,0
103,2,14,129,0,0,0
104,3,15,144,0,0,0
105,2,12,135,0,0,0
106,0,7,102,0,0,0
107,1,4,105,0,0,0
108,1,2,114,0,0,0
109,0,1,81,0,0,0
110,0,6,69,0,0,0
111,1,11,99,0,0,0
112,2,8,111,0,0,0
113,1,7,105,0,3,0
114,1,7,87,0,69,0
115,1,5,129,0,278,0
116,0,6,111,2,780,0
117,0,3,81,24,1592,0
118,1,6,93,127,2951,0
119,0,2,84,277,4928,0
120,1,6,69,514,6528,0
121,0,1,111,858,7642,0
122,1,7,63,1309,8892,0
123,0,2,84,1659,9220,0
124,0,5,84,1597,8163,0
125,1,5,75,1594,6884,0
126,2,6,90,1318,5593,0
127,0,4,69,881,4381,0
128,0,5,78,624,3274,0
129,2,7,93,449,2722,0
130,0,1,66,385,2219,0
131,1,4,54,335,2121,0
132,2,8,51,270,2011,0
133,0,1,66,292,2077,0
134,0,0,57,314,2175,0
135,2,10,69,298,2016,0
136,0,2,66,277,1982,0
137,0,2,42,169,1653,0
138,0,4,45,183,1728,0
139,2,7,99,157,1694,0
140,0,6,57,193,1525,0
141,0,7,75,139,1387,0
142,0,1,72,151,1460,0
143,0,2,54,132,1296,0
144,1,3,39,170,1297,0
145,0,2,51,208,1370,0
146,1,4,42,161,1190,0
147,1,4,30,209,1316,0
148,1,2,45,153,1180,0
149,0,6,51,194,1206,0
150,1,6,30,115,1144,0
151,1,3,42,114,1035,0
152,0,2,48,100,961,0
153,3,4,48,111,1114,0
154,0,1,69,91,949,0
155,0,4,42,106,990,0
156,0,1,45,100,1069,0
157,0,4,18,123,1060,0
158,2,3,51,118,952,0
159,0,3,42,76,749,0
160,1,2,36,65,737,0
161,1,3,24,30,711,0
162,0,1,33,84,744,0
163,0,4,39,127,786,0
164,0,1,33,139,824,0
165,0,2,33,128,859,0
166,0,0,27,69,643,0
167,0,1,30,81,817,0
168,0,4,27,44,690,0
169,2,3,39,90,632,0
170,0,1,36,88,764,0
171,0,2,24,64,661,0
172,0,1,33,116,846,0
173,0,1,21,99,772,0
174,0,4,48,77,862,0
175,0,2,30,104,903,0
176,0,1,45,96,774,0
177,1,2,30,80,714,0
178,0,0,21,54,662,0
179,0,1,36,109,776,0
180,1,2,6,76,762,0
181,0,1,30,88,597,0
182,0,0,57,61,705,0
183,0,1,33,88,641,0
184,0,2,36,42,533,0
185,0,0,33,79,676,0
186,0,0,30,42,645,0
187,0,2,15,85,598,0
188,1,2,24,114,690,0
189,0,1,36,63,584,0
190,0,2,21,75,606,0
191,0,1,48,63,485,0
192,0,1,30,42,415,0
193,0,0,21,76,556,0
194,2,3,30,50,537,0
195,0,1,15,22,476,0
196,0,2,36,60,573,0
197,1,3,24,37,547,0
198,1,1,30,58,479,0
199,0,2,33,75,573,0
200,2,2,21,84,538,0
201,0,2,6,71,490,0
202,0,0,24,50,387,0
203,0,4,21,25,387,0
204,1,1,18,28,491,0
205,0,1,21,83,535,0
206,0,0,42,53,577,0
207,0,1,27,28,617,0
208,0,1,24,24,526,0
209,1,4,24,58,527,0
210,0,7,30,20,550,0
211,0,3,21,65,532,0
212,0,2,33,95,572,0
213,0,1,33,81,579,0
214,1,3,21,43,504,0
215,1,6,30,47,557,0
216,0,0,15,31,482,0
217,0,2,27,62,489,0
218,0,6,18,59,508,0
219,0,0,18,34,546,0
220,0,0,15,70,568,0
221,0,1,30,48,387,0
222,0,0,30,42,377,0
223,0,0,0,36,370,0
224,0,3,21,63,397,0
225,0,3,12,38,499,0
226,0,0,15,44,417,0
227,0,1,15,63,502,0
228,0,2,18,67,639,0
229,0,0,21,49,533,0
230,0,1,12,58,420,0
231,0,1,18,71,467,0
232,0,1,18,30,398,0
233,0,1,18,54,377,0
234,1,2,21,36,302,0
235,0,3,30,63,342,0
236,0,1,6,25,404,0
237,0,1,15,58,405,0
238,0,3,6,70,398,0
239,0,2,33,75,482,0
240,0,5,21,55,412,0
241,0,0,24,67,364,0
242,0,1,15,65,430,0
243,0,3,15,73,389,0
244,0,8,12,63,500,0
245,0,2,9,46,372,0
246,0,3,3,26,346,0
247,2,6,21,27,291,0
248,1,1,15,77,294,0
249,0,3,21,57,357,0
250,0,0,15,26,273,0
251,0,1,18,36,293,0
252,0,1,15,39,343,0
253,0,1,6,104,406,0
254,0,1,27,117,368,0
255,0,1,18,91,478,0
256,0,1,18,37,363,0
257,0,0,6,42,344,0
258,0,0,9,59,454,0
259,0,1,15,60,341,0
260,0,1,18,57,356,0
261,1,1,6,61,353,0
262,0,0,18,65,224,0
263,0,0,9,26,221,0
264,0,0,6,53,288,0
265,0,0,9,40,298,0
266,0,0,6,33,314,0
267,0,1,9,51,334,0
268,1,1,18,56,283,0
269,0,0,9,40,287,0
270,0,0,15,70,314,0
271,0,0,9,33,250,0
272,0,2,15,30,261,0
273,0,0,9,19,220,0
274,0,0,15,22,240,0
275,0,0,6,61,271,0
276,0,1,21,67,270,0
277,0,0,15,18,239,0
278,0,0,15,48,238,0
279,0,1,15,40,308,0
280,0,0,18,64,304,0
281,0,1,15,16,204,0
282,0,0,3,21,294,0
283,0,0,18,34,258,0
284,0,1,12,30,347,0
285,0,1,9,36,268,0
286,0,0,6,45,229,0
287,0,0,6,62,249,0
288,0,0,9,76,307,0
289,0,0,12,48,282,0
290,0,0,12,32,351,0
291,0,3,12,60,264,0
292,0,1,6,31,295,0
